"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Jun 2009 - Jun 2009"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"BARNES, D. E. ESTATE",38700,08," ",6905,9716,0,0
BARSTOW,39273,08," ",928,4793,0,0
"BIG VALLEY 6-20",39164,08," ",1780,3663,0,0
"CALAMITY JANE WEST",39285,08," ",658,3769,0,0
"CHEVY 17",39369,08," ",767,1348,0,0
"DAVIS '33-20'",39239,08," ",21647,25702,0,0
"DAVIS 33-19",39540,08," ",4173,4659,0,0
"EFFIE PONDER EST. 33-18",38719,08," ",4487,4613,0,0
"FIELDS 33-25",39205,08," ",6194,8009,0,0
"FIELDS 33-27",39128,08," ",1271,1267,0,0
"HOWARD 33-22",38658,08," ",3580,4398,0,0
"HOWARD, BERNICE",30307,08," ",68,0,0,0
INTERSTATE,39572,08," ",329,943,0,0
"JOHNSON 33-21",39485,08," ",4894,6390,0,0
"KHC '33-26'",39289,08," ",10067,11026,0,0
"KHC 33-24",38618,08," ",6774,9728,0,0
"KW STATE",39341,08," ",437,1630,0,0
"LEE -128-",28269,08," ",64,0,0,0
"MATTHES STATE",39360,08," ",817,2461,0,0
"MILLER STATE 140",39389,08," ",5437,4910,0,0
"MILLER STATE 152",39538,08," ",5037,5365,0,0
"MILLER STATE 30",39374,08," ",1536,2858,0,0
"SEARLS 34-115",39431,08," ",7005,20896,0,0
"VICKERS '34-127'",39484,08," ",2970,4773,0,0
"WILSON TRUST 126",39206,08," ",2362,8679,0,0
WORSHAM,39668,08," ",623,1530,0,0
"WORSHAM '6-18'",39429,08," ",1802,7173,0,0
"WORSHAM '6-22'",39277,08," ",4276,7051,0,0
Total," "," "," ",106888,167350,0,0
