"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Apr 2010 - Apr 2010"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"BARNES, D. E. ESTATE",38700,08," ",3262,4749,0,0
BARSTOW,39273,08," ",646,3110,0,0
"BIG VALLEY 6-20",39164,08," ",1049,1800,0,0
"BLACKTIP JOHNSON 1-39",39856,08," ",33566,95498,0,0
"CALAMITY JANE WEST",39285,08," ",283,1945,0,0
"CHEVRON 34-157",40151,08," ",202,22597,0,0
"CHEVRON 34-179",39755,08," ",9535,18510,0,0
"CHEVRON 34-181",39830,08," ",7187,25308,0,0
"CHEVY 17",39369,08," ",450,416,0,0
"DAVIS '33-20'",39239,08," ",11474,17291,0,0
"DAVIS 33-19",39540,08," ",3898,4478,0,0
"EFFIE PONDER EST. 33-18",38719,08," ",8738,7581,0,0
"EMMONS 6-21",40959,08," ",0,0,0,0
"FIELDS 33-25",39205,08," ",5198,17405,0,0
"FIELDS 33-27",39128,08," ",1400,1827,0,0
"HOWARD 33-22",38658,08," ",2093,2118,0,0
"HOWARD, BERNICE",30307,08," ",106,0,0,0
INTERSTATE,39572,08," ",238,844,0,0
"JOHNSON 33-21",39485,08," ",2668,2388,0,0
"KHC '33-26'",39289,08," ",3830,5275,0,0
"KHC 33-24",38618,08," ",5538,8213,0,0
"KW STATE",39341,08," ",1938,6658,0,0
"LEE -128-",28269,08," ",41,0,0,0
"MATTHES STATE",39360,08," ",811,1914,0,0
"MILLER STATE 140",39389,08," ",1105,1851,0,0
"MILLER STATE 152",39538,08," ",2065,2643,0,0
"MILLER STATE 30",39374,08," ",773,428,0,0
"MONROE 34-180",39877,08," ",14090,78449,0,0
"MONROE 34-210",39975,08," ",9100,112853,0,0
"NARROWS 6-21",41098,08," ",0,0,0,0
"SEARLS 34-115",39431,08," ",2773,7014,0,0
"VICKERS '34-127'",39484,08," ",2181,2634,0,0
"WILSON TRUST 126",39206,08," ",1719,5503,0,0
WORSHAM,39668,08," ",437,1066,0,0
"WORSHAM '6-18'",39429,08," ",1378,6518,0,0
"WORSHAM '6-22'",39277,08," ",3032,3696,0,0
Total," "," "," ",142804,472580,0,0
