"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Dec 2011 - Dec 2011"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"APC FEE 1-40",40729,08," ",19842,41009,0,0
"APC FEE 1-50 UNIT",41231,08," ",2021,3856,0,0
"ASHLOCK 1-34",41954,08," ",3905,2608,0,0
"AYERS UNIT ""24""",41978,08," ",3711,5054,0,0
"BARNES, D. E. ESTATE",38700,08," ",2865,6518,0,0
BARSTOW,39273,08," ",484,2139,0,0
"BIG VALLEY 6-20",39164,08," ",831,1050,0,0
"BIGHORN 1-31 WD",41730,08," ",0,0,0,0
"BLACK STONE 34-216",42043,08," ",793,8466,0,0
"BLACKTIP 1-21 WRD UNIT",41816,08," ",9630,11786,0,0
"BLACKTIP 1-21 WRD UNIT 1",40663,08," ",456,3127,0,0
"BLACKTIP 1-42",41088,08," ",2466,3004,0,0
"BLACKTIP 1-43",40406,08," ",1502,2454,0,0
"BLACKTIP 1-44",40625,08," ",5146,7790,0,0
"BLACKTIP 1-48",40991,08," ",2780,2675,0,0
"BLACKTIP JOHNSON 1-39",39856,08," ",9152,11205,0,0
"BLACKTIP UNIVERSITY 19-26",42108,08," ",4530,5243,0,0
"BLUE JACKET ""62""",41822,08," ",860,6055,0,0
"BOB COUCH 3-10",41583,08," ",1439,4332,0,0
"BP 34-211",40619,08," ",12973,28393,0,0
"BRAMBLETT 34-216",41517,08," ",361,1790,0,0
"BRUNSON ""22""",42146,08," ",1800,495,0,0
"BUCKIN CHUTE 33-61",42563,08," ",4546,21395,0,0
"CALAMITY JANE WEST",39285,08," ",138,677,0,0
"CHATTERFROG 151",41557,08," ",5335,9009,0,0
"CHEVRON 34-157",40151,08," ",1264,1101,0,0
"CHEVRON 34-179",39755,08," ",4118,8262,0,0
"CHEVRON 34-181",39830,08," ",1561,3971,0,0
"CHEVY 17",39369,08," ",334,1314,0,0
COLLIER,42195,08," ",2390,956,0,0
"COLONEL DRAKE 24",41295,08," ",8934,13620,0,0
"COLT 34-212",40262,08," ",15278,41039,0,0
"COOPERSMITH 34-139",41817,08," ",2954,3924,0,0
"CROCKETT 1-26 WRD",41052,08," ",33617,65130,0,0
"CROCKETT 1-29 WRD UNIT",41763,08," ",0,0,0,0
"CROCKETT 1-35 UNIT",42104,08," ",0,410,0,0
"DAVIS '33-20'",39239,08," ",6682,11723,0,0
"DAVIS 33-19",39540,08," ",1488,1371,0,0
"DAVIS 34-169 UNIT 1",42084,08," ",4088,10144,0,0
"DAYTONA 14",41914,08," ",12379,26733,0,0
"DRAKESTER 209",284193,08," 1H",0,0,5123,1131
"DRAKESTER 209",42086,08," ",0,0,0,0
"EAST VERMEJO 33-66",41507,08," ",29710,68313,0,0
"EFFIE PONDER EST. 33-18",38719,08," ",3426,3482,0,0
"EMMONS 6-21",40959,08," ",0,0,0,0
"FIELDER STATE 2-10",41866,08," ",0,0,0,0
"FIELDS 33-25",39205,08," ",4052,1796,0,0
"FIELDS 33-27",39128,08," ",6685,5389,0,0
"FINLEY 1-11 WRD",42335,08," ",8688,15810,0,0
"FOWLER 34-193",40254,08," ",9027,26292,0,0
"GELTEMEYER 4-21",271714,08," 1H",0,0,0,1773
"GELTEMEYER 61",266022,08," 1",0,0,2883,0
"GOMER 2 UNIT",43931,08," ",0,0,0,0
"HEXAD 34-180",41026,08," ",2790,4742,0,0
"HOWARD 33-22",38658,08," ",4432,3596,0,0
"HOWARD, BERNICE",30307,08," ",116,0,0,0
"HUGHES B",43889,08," ",191,0,0,0
"HUMANE SOCIETY 34-187",41560,08," ",1812,4201,0,0
"HUMANE SOCIETY 34-198 WRD",42026,08," ",1997,6906,0,0
INTERSTATE,39572,08," ",225,583,0,0
"INTIMIDATION 33-63",42310,08," ",38213,77144,0,0
"JAMES WEST 1-41",41522,08," ",5694,6154,0,0
"JANE M. GRAVES UNIT",42955,08," ",1956,0,0,0
"JITTERBUG 161",40769,08," ",6570,5910,0,0
"JOHNSON 33-21",39485,08," ",3187,7884,0,0
"JOHNSON RANCH 1-49",40751,08," ",1284,2178,0,0
"KHC '33-26'",39289,08," ",13139,25150,0,0
"KHC 33-24",38618,08," ",4728,13946,0,0
"KIMBELL 34-194",40654,08," ",973,3783,0,0
"KW STATE",39341,08," ",0,894,0,0
"LEE -128-",28269,08," ",17,0,0,0
"LEE 34-154",41585,08," ",2729,4561,0,0
"MAGIC MAN 33-64 WRD",42019,08," ",23480,48051,0,0
"MAKO STATE 2-32",41569,08," ",284,20,0,0
"MAKO STATE 3-6",41426,08," ",0,372,0,0
"MAKO STATE 54-4-10",41776,08," ",70,0,0,0
"MATTHES STATE",39360,08," ",399,794,0,0
MILLER,41993,08," ",2570,2708,0,0
"MILLER STATE 140",39389,08," ",2213,2598,0,0
"MILLER STATE 152",39538,08," ",1723,1530,0,0
"MILLER STATE 30",39374,08," ",630,1251,0,0
"MINNOW BUCKET SWD",40979,08," ",0,0,0,0
"MONROE 1-17 WRD",40817,08," ",19430,39534,0,0
"MONROE 1-6 WRD",42155,08," ",21581,33941,0,0
"MONROE 34-158",40721,08," ",759,853,0,0
"MONROE 34-158 UNIT",41452,08," ",7168,9168,0,0
"MONROE 34-172",40340,08," ",1649,4903,0,0
"MONROE 34-178",40778,08," ",1383,3807,0,0
"MONROE 34-180",39877,08," ",2541,6117,0,0
"MONROE 34-188",40487,08," ",318,664,0,0
"MONROE 34-190",40728,08," ",3722,9576,0,0
"MONROE 34-205",42118,08," ",662,13350,0,0
"MONROE 34-205 WRD",42426,08," ",1516,9946,0,0
"MONROE 34-210",39975,08," ",3250,17101,0,0
"MONROE 34-220",40322,08," ",36791,58773,0,0
"MONROE 34-221",40154,08," ",4465,7278,0,0
"MONROE 34-221 UNIT",42356,08," ",16714,22882,0,0
"MONROE 34-232",41783,08," ",1862,22780,0,0
"MONROE STATE 1-4 WRD",41150,08," ",58,356,0,0
"MONROE WEST 1-17 WRD",41684,08," ",12496,24184,0,0
"MOONEY 34-222",40519,08," ",16023,24329,0,0
"MURJO 34-223 UNIT 1",42462,08," ",4871,12991,0,0
"NARROWS 6-21",41098,08," ",2337,3316,0,0
"OATMAN C18-27",266259,08," 1H",0,0,0,2112
"OLSON 34-191",41506,08," ",7096,38543,0,0
"OXY FEE '24'",264509,08," 1",0,0,0,0
"PATTERSON 1-34",41066,08," ",924,916,0,0
"PINE RIDGE 34-176",42674,08," ",17459,58418,0,0
"PITZER 8",42260,08," ",8480,11599,0,0
"POCONO 65",284074,08," 1H",0,0,13860,1806
"POCONO 65",41886,08," ",0,0,0,0
"PRUETT, T.B. 24",42246,08," ",12216,17183,0,0
"RAYBANK 1-44",41589,08," ",2192,6328,0,0
"RICHMOND 39",284030,08," 1H",0,0,41858,5060
"RICHMOND 39",42482,08," ",0,0,0,0
"ROLWING 23",266657,08," 1H",0,0,6714,1038
"SEARLS 34-115",39431,08," ",2017,4012,0,0
"SKINNER 34-116",42624,08," ",31660,35519,0,0
"SLO-POKE 149 HG",41748,08," ",0,0,0,0
"SLUICE BOX 4-2",41762,08," ",1706,11100,0,0
"TALLADEGA 65",41147,08," ",7991,19545,0,0
"THORNTON TRUST 4-60",42880,08," ",290,2551,0,0
"UNDERWOOD 34-138 UNIT",42457,08," ",6145,7456,0,0
"UNIVERSITY 18-40",42956,08," ",3499,3369,0,0
"UNIVERSITY 19-5",40552,08," ",1765,1067,0,0
"UNIVERSITY 20-42",43029,08," ",61,0,0,0
"VERDE 34-153",41986,08," ",7498,6879,0,0
"VICKERS '34-127'",39484,08," ",2378,1376,0,0
"WAHOO ANGEL 1-33",41169,08," ",657,755,0,0
"WHITLEY 34-231",42117,08," ",454,3942,0,0
"WIGGO 34-177",41553,08," ",3623,6941,0,0
"WILSON CROSS 168",40323,08," ",1004,2318,0,0
"WILSON TRUST 126",39206,08," ",752,2902,0,0
WORSHAM,39668,08," ",137,0,0,0
"WORSHAM '6-18'",39429,08," ",1176,5694,0,0
"WORSHAM '6-22'",39277,08," ",2347,2915,0,0
"YADON STATE A",42006,08," ",12154,30510,0,0
"ZEMAN 3-16",41624,08," ",3055,7366,0,0
"ZPZ 34-211 UNIT",42458,08," ",5357,14768,0,0
Total," "," "," ",679352,1355687,70438,12920
