"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Feb 2012 - Feb 2012"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"APC FEE 1-38 UNIT",42460,08," ",1018,6169,0,0
"APC FEE 1-40",40729,08," ",8677,15406,0,0
"APC FEE 1-50 UNIT",41231,08," ",1583,4201,0,0
"ASHLOCK 1-34",41954,08," ",4,43,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,35847,2944
"ATLANTA 73",42256,08," ",0,0,0,0
"AYERS UNIT ""24""",41978,08," ",2745,2794,0,0
"BARNES, D. E. ESTATE",38700,08," ",3415,9618,0,0
BARSTOW,39273,08," ",308,1916,0,0
"BIG VALLEY 6-20",39164,08," ",675,1857,0,0
"BIGHORN 1-31 WD",41730,08," ",427,0,0,0
"BLACK STONE 34-216",42043,08," ",1120,6541,0,0
"BLACKTIP 1-21 WRD UNIT",41816,08," ",4972,8042,0,0
"BLACKTIP 1-21 WRD UNIT 1",40663,08," ",3627,4648,0,0
"BLACKTIP 1-42",41088,08," ",2129,2696,0,0
"BLACKTIP 1-43",40406,08," ",2488,3882,0,0
"BLACKTIP 1-44",40625,08," ",2329,5628,0,0
"BLACKTIP 1-48",40991,08," ",2275,2655,0,0
"BLACKTIP JOHNSON 1-39",39856,08," ",4422,8344,0,0
"BLACKTIP UNIVERSITY 19-26",42108,08," ",5274,3118,0,0
"BLUE JACKET ""62""",41822,08," ",403,3553,0,0
"BOB COUCH 3-10",41583,08," ",1694,1012,0,0
"BP 34-211",40619,08," ",6221,18771,0,0
"BRAMBLETT 34-216",41517,08," ",197,1181,0,0
"BRUNSON ""22""",42146,08," ",1408,580,0,0
"BUCKIN CHUTE 33-61",42563,08," ",11458,29569,0,0
"CALAMITY JANE WEST",39285,08," ",0,867,0,0
"CHATTERFROG 151",41557,08," ",3081,4641,0,0
"CHEVRON 34-157",40151,08," ",1096,932,0,0
"CHEVRON 34-179",39755,08," ",3253,7569,0,0
"CHEVRON 34-181",39830,08," ",1406,3731,0,0
"CHEVY 17",39369,08," ",232,1619,0,0
COLLIER,42195,08," ",1143,1158,0,0
"COLONEL DRAKE 24",41295,08," ",7657,19976,0,0
"COLT 34-212",40262,08," ",20822,39402,0,0
"COOPERSMITH 34-139",41817,08," ",2485,3542,0,0
"COTTONWOOD 53-43",268248,08," 1H",0,0,0,0
"CROCKETT 1-26 WRD",41052,08," ",15938,31767,0,0
"CROCKETT 1-29 WRD UNIT",41763,08," ",0,0,0,0
"CROCKETT 1-35 UNIT",42104,08," ",4820,9396,0,0
"DAVIS '33-20'",39239,08," ",2920,5210,0,0
"DAVIS 33-19",39540,08," ",3219,4147,0,0
"DAVIS 34-169 UNIT 1",42084,08," ",7222,10664,0,0
"DAYTONA 14",41914,08," ",4904,13604,0,0
"DRAKESTER 209",283980,08," 2H",0,0,36754,5972
"DRAKESTER 209",284193,08," 1H",0,0,5844,560
"DRAKESTER 209",42086,08," ",0,0,0,0
"EAST VERMEJO 33-66",41507,08," ",18981,38083,0,0
"EFFIE PONDER EST. 33-18",38719,08," ",3247,3818,0,0
"EMMONS 6-21",40959,08," ",0,0,0,0
"FIELDER STATE 2-10",41866,08," ",0,0,0,0
"FIELDS 33-25",39205,08," ",3922,2006,0,0
"FIELDS 33-27",39128,08," ",8696,10482,0,0
"FINLEY 1-11 WRD",42335,08," ",16026,25594,0,0
"FOWLER 34-193",40254,08," ",9304,25567,0,0
"GELTEMEYER 4-21",271714,08," 1H",0,0,0,0
"GELTEMEYER 61",266022,08," 1",0,0,3224,722
"GORDON STATE 24",42603,08," ",92,703,0,0
"GRACE CARTER 56",284024,08," 2H",0,0,10918,731
"GRACE CARTER 56",42576,08," ",0,0,0,0
"GRAHAM 19 STATE UNIT",42826,08," ",6966,8870,0,0
"HERRINGTON 55-T7-32",42841,08," ",0,0,0,0
"HEXAD 34-180",41026,08," ",1856,4303,0,0
"HOWARD 33-22",38658,08," ",4603,3845,0,0
"HOWARD, BERNICE",30307,08," ",114,0,0,0
"HUGHES B",43889,08," ",737,7089,0,0
"HUMANE SOCIETY 34-187",41560,08," ",1230,3504,0,0
"HUMANE SOCIETY 34-198 WRD",42026,08," ",1924,6137,0,0
"HUMANE SOCIETY 34-199 WRD",42158,08," ",1199,5627,0,0
INTERSTATE,39572,08," ",196,545,0,0
"INTIMIDATION 33-63",42310,08," ",40856,80846,0,0
"JAMES WEST 1-41",41522,08," ",2725,4042,0,0
"JANE M. GRAVES UNIT",42955,08," ",5834,7466,0,0
"JITTERBUG 161",40769,08," ",5304,6081,0,0
"JOHNSON 33-21",39485,08," ",2299,2630,0,0
"JOHNSON RANCH 1-49",40751,08," ",1843,3368,0,0
"KHC '33-26'",39289,08," ",10392,16190,0,0
"KHC 33-24",38618,08," ",5327,12929,0,0
"KIMBELL 34-194",40654,08," ",849,3194,0,0
"KW STATE",39341,08," ",637,1867,0,0
"LEE -128-",28269,08," ",23,0,0,0
"LEE 34-154",41585,08," ",1737,2724,0,0
"MAGIC MAN 33-64 WRD",42019,08," ",10854,22282,0,0
"MAKO STATE 2-32",41569,08," ",1192,479,0,0
"MAKO STATE 3-6",41426,08," ",496,827,0,0
"MAKO STATE 54-4-10",41776,08," ",880,883,0,0
"MATTHES STATE",39360,08," ",334,853,0,0
MILLER,41993,08," ",2820,3551,0,0
"MILLER STATE 140",39389,08," ",924,1115,0,0
"MILLER STATE 152",39538,08," ",1495,2032,0,0
"MILLER STATE 30",39374,08," ",370,1325,0,0
"MINNOW BUCKET SWD",40979,08," ",0,0,0,0
"MONROE 1-17 WRD",40817,08," ",7497,13825,0,0
"MONROE 1-6 WRD",42155,08," ",7931,12396,0,0
"MONROE 1-8 WRD",42153,08," ",3024,5929,0,0
"MONROE 34-158",40721,08," ",3738,4711,0,0
"MONROE 34-158 UNIT",41452,08," ",4674,7307,0,0
"MONROE 34-172",40340,08," ",90,1794,0,0
"MONROE 34-178",40778,08," ",1662,2564,0,0
"MONROE 34-180",39877,08," ",1606,3426,0,0
"MONROE 34-188",40487,08," ",381,931,0,0
"MONROE 34-190",40728,08," ",1965,8455,0,0
"MONROE 34-195",42262,08," ",4115,20777,0,0
"MONROE 34-205",42118,08," ",954,10465,0,0
"MONROE 34-205 WRD",42426,08," ",436,5315,0,0
"MONROE 34-210",39975,08," ",1618,10578,0,0
"MONROE 34-220",40322,08," ",36093,60985,0,0
"MONROE 34-221",40154,08," ",5114,7866,0,0
"MONROE 34-221 UNIT",42356,08," ",8855,11149,0,0
"MONROE 34-221 UNIT 2",42459,08," ",6352,16317,0,0
"MONROE 34-232",41783,08," ",1912,16603,0,0
"MONROE STATE 1-4 WRD",41150,08," ",5001,10697,0,0
"MONROE WEST 1-17 WRD",41684,08," ",8589,16267,0,0
"MOONEY 34-222",40519,08," ",18030,23382,0,0
"MURJO 34-223 UNIT 1",42462,08," ",33479,46704,0,0
"NARROWS 6-21",41098,08," ",1923,2090,0,0
"OATMAN C18-26",268241,08," 1H",0,0,0,5598
"OATMAN C18-27",266259,08," 1H",0,0,50319,3432
"OLSON 34-191",41506,08," ",7925,26054,0,0
"OXY FEE '24'",264509,08," 1",0,0,0,0
"PATTERSON 1-34",41066,08," ",802,0,0,0
"PHANTOM-BURKHOLDER UNIT",44758,08," ",1386,0,0,0
"PHOENIX STATE 10",42818,08," ",961,2393,0,0
"PINE RIDGE 34-176",42674,08," ",9361,28239,0,0
"PITZER 8",42260,08," ",28758,33325,0,0
"POCONO 65",284074,08," 1H",0,0,14249,1316
"POCONO 65",41886,08," ",0,0,0,0
"PRUETT, T.B. 24",42246,08," ",34903,47271,0,0
"RAYBANK 1-44",41589,08," ",2091,4219,0,0
"RICHMOND 39",284030,08," 1H",0,0,29325,3300
"RICHMOND 39",42482,08," ",0,0,0,0
"ROLWING 23",266657,08," 1H",0,0,12,0
"SEARLS 34-115",39431,08," ",1736,8015,0,0
"SKINNER 34-116",42624,08," ",28893,26331,0,0
"SLO-POKE 149 HG",41748,08," ",10326,10408,0,0
"SLUICE BOX 4-2",41762,08," ",1514,4366,0,0
"TALLADEGA 65",41147,08," ",11449,20647,0,0
"THORNTON TRUST 4-60",42880,08," ",230,1022,0,0
"UNDERWOOD 34-138 UNIT",42457,08," ",3012,2287,0,0
"UNIVERSITY 18-40",42956,08," ",4364,2048,0,0
"UNIVERSITY 19-5",40552,08," ",4378,3985,0,0
"UNIVERSITY 20-42",43029,08," ",62,74,0,0
"VERDE 34-153",41986,08," ",3781,4389,0,0
"VICKERS '34-127'",39484,08," ",1873,6420,0,0
"WAHOO ANGEL 1-33",41169,08," ",714,0,0,0
"WHITLEY 34-231",42117,08," ",756,3351,0,0
"WIGGO 34-177",41553,08," ",2435,4995,0,0
"WILSON CROSS 168",40323,08," ",0,41,0,0
"WILSON TRUST 126",39206,08," ",1295,5390,0,0
WORSHAM,39668,08," ",342,0,0,0
"WORSHAM '6-18'",39429,08," ",1078,5805,0,0
"WORSHAM '6-22'",39277,08," ",1807,2141,0,0
"YADON STATE A",42006,08," ",7829,18221,0,0
"ZEMAN 3-16",41624,08," ",1758,3884,0,0
"ZPZ 34-211 UNIT",42458,08," ",2476,8383,0,0
Total," "," "," ",668685,1225543,186492,24575
