"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Mar 2012 - Mar 2012"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"9014 JV-P PITZER",41392,08," ",12,56,0,0
"APC FEE 1-38 UNIT",42460,08," ",45343,98187,0,0
"APC FEE 1-40",40729,08," ",11058,19109,0,0
"APC FEE 1-50 UNIT",41231,08," ",736,1476,0,0
"ASHLOCK 1-34",41954,08," ",6326,9224,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,20494,1633
"ATLANTA 73",42256,08," ",0,0,0,0
"AYERS UNIT ""24""",41978,08," ",3376,4514,0,0
"BARNES, D. E. ESTATE",38700,08," ",3689,8595,0,0
BARSTOW,39273,08," ",464,2023,0,0
"BIG VALLEY 6-20",39164,08," ",669,1205,0,0
"BIGHORN 1-31 WD",41730,08," ",586,0,0,0
"BLACK POWDER 1-27",42881,08," ",263,138,0,0
"BLACK STONE 34-216",42043,08," ",1373,7195,0,0
"BLACKTIP 1-21 WRD UNIT",41816,08," ",5061,8182,0,0
"BLACKTIP 1-21 WRD UNIT 1",40663,08," ",3454,5102,0,0
"BLACKTIP 1-42",41088,08," ",1506,2450,0,0
"BLACKTIP 1-43",40406,08," ",2257,3897,0,0
"BLACKTIP 1-44",40625,08," ",3995,9672,0,0
"BLACKTIP 1-48",40991,08," ",2157,3178,0,0
"BLACKTIP JOHNSON 1-39",39856,08," ",3145,6109,0,0
"BLACKTIP UNIVERSITY 19-26",42108,08," ",3932,5509,0,0
"BLUE JACKET ""62""",41822,08," ",1339,3026,0,0
"BOB COUCH 3-10",41583,08," ",2965,6142,0,0
"BP 34-211",40619,08," ",19112,43398,0,0
"BRAMBLETT 34-216",41517,08," ",1913,9192,0,0
"BRUNSON ""22""",42146,08," ",1820,1638,0,0
"BUCKIN CHUTE 33-61",42563,08," ",8830,21862,0,0
"CALAMITY JANE WEST",39285,08," ",227,859,0,0
"CHATTERFROG 151",41557,08," ",3571,5464,0,0
"CHEVRON 34-157",40151,08," ",1007,856,0,0
"CHEVRON 34-179",39755,08," ",3123,8907,0,0
"CHEVRON 34-181",39830,08," ",1582,4166,0,0
"CHEVY 17",39369,08," ",305,1572,0,0
COLLIER,42195,08," ",752,761,0,0
"COLONEL DRAKE 24",41295,08," ",6385,12668,0,0
"COLT 34-212",40262,08," ",24538,58677,0,0
"COOPERSMITH 34-139",41817,08," ",4542,6385,0,0
"COPE,R.L.",42695,08," ",318,1987,0,0
"COTTONWOOD 53-43",268248,08," 1H",0,0,0,0
"CROCKETT 1-26 WRD",41052,08," ",20235,41758,0,0
"CROCKETT 1-29 WRD UNIT",41763,08," ",0,0,0,0
"CROCKETT 1-35 UNIT",42104,08," ",9187,11451,0,0
"CROCKETT 1-37 WRD",42140,08," ",3497,6981,0,0
"DAVIS '33-20'",39239,08," ",990,3326,0,0
"DAVIS 33-19",39540,08," ",3554,3496,0,0
"DAVIS 34-169 UNIT 1",42084,08," ",2748,4389,0,0
"DAYTONA 14",41914,08," ",4049,9877,0,0
"DRAKESTER 209",283980,08," 2H",0,0,24910,4480
"DRAKESTER 209",284193,08," 1H",0,0,8726,798
"DRAKESTER 209",42086,08," ",0,0,0,0
"DUNAGAN RANCH",41306,08," ",0,0,0,0
"EAST VERMEJO 33-66",41507,08," ",25159,51846,0,0
"EFFIE PONDER EST. 33-18",38719,08," ",3338,4526,0,0
"EMMONS 6-21",40959,08," ",0,0,0,0
"FIELDER STATE 2-10",41866,08," ",0,0,0,0
"FIELDS 33-25",39205,08," ",3914,1970,0,0
"FIELDS 33-27",39128,08," ",6879,10558,0,0
"FINLEY 1-11 WRD",42335,08," ",17670,28190,0,0
"FOWLER 34-193",40254,08," ",8662,25317,0,0
"GELTEMEYER 61",266022,08," 1",0,0,70,0
"GORDON STATE 24",42603,08," ",9201,30082,0,0
"GRACE CARTER 56",284024,08," 2H",0,0,60359,3690
"GRACE CARTER 56",42576,08," ",0,0,0,0
"GRAHAM 19 STATE UNIT",42826,08," ",19950,24776,0,0
"HERRINGTON 55-T7-32",42841,08," ",0,0,0,0
"HEXAD 34-180",41026,08," ",2071,4070,0,0
"HOWARD 33-22",38658,08," ",3360,3096,0,0
"HOWARD, BERNICE",30307,08," ",115,0,0,0
"HUGHES B",43889,08," ",772,4110,0,0
"HUMANE SOCIETY 34-187",41560,08," ",1441,3426,0,0
"HUMANE SOCIETY 34-198 WRD",42026,08," ",1836,5812,0,0
"HUMANE SOCIETY 34-199 WRD",42158,08," ",2104,8483,0,0
INTERSTATE,39572,08," ",130,514,0,0
"INTIMIDATION 33-63",42310,08," ",47485,99397,0,0
"JAMES WEST 1-41",41522,08," ",4073,6604,0,0
"JANE M. GRAVES UNIT",42955,08," ",4820,6596,0,0
"JITTERBUG 161",40769,08," ",5464,6771,0,0
"JOHNSON 33-21",39485,08," ",1462,1760,0,0
"JOHNSON RANCH 1-49",40751,08," ",1715,2789,0,0
"KHC '33-26'",39289,08," ",11028,18047,0,0
"KHC 33-24",38618,08," ",5496,13079,0,0
