"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Oct 2013 - Oct 2013"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"9014 JV-P PITZER",41392,08," ",143,249,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,114451,6494
"APC FEE 1-38 UNIT",42460,08," ",7833,12861,0,0
"APC FEE 1-40",40729,08," ",16038,21887,0,0
"APC FEE 1-50 UNIT",41231,08," ",5232,8321,0,0
"APC FEE 6",43431,08," ",1376,1488,0,0
"ARMSTRONG 14",45537,08," ",368,4559,0,0
"ARMSTRONG 16",45227,08," ",1151,10524,0,0
"ASHLOCK 1-34",41954,08," ",577,1195,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,3222,522
"ATLANTA 73",42256,08," ",0,0,0,0
"AUTOBAHN 34-117",44771,08," ",43068,48916,0,0
"AYERS UNIT ""24""",41978,08," ",2532,3505,0,0
"BAGWELL C27-1",42447,08," ",2930,6765,0,0
"BARBEE 72-1",268076,08," 1H",0,0,0,0
"BARNES, D. E. ESTATE",38700,08," ",1568,1005,0,0
"BARRACUDA 49",283806,08," 1",0,0,4867,456
"BARRACUDA 49",44118,08," ",0,0,0,0
BARSTOW,39273,08," ",552,3717,0,0
"BARTSOW UNIT 33-35",45119,08," ",0,0,0,0
"BATES 1-63 LOV UNIT",44469,08," ",6971,14029,0,0
"BATES 1-77 LOV UNIT",44788,08," ",0,0,0,0
"BECKHAM CALDWELL 5-43",268221,08," 1H",0,0,5972,1664
"BENTON 3-12",44948,08," ",18568,69046,0,0
"BETTS 54-4-26 RVS",44643,08," ",10840,31008,0,0
"BETTYE HANSARD STATE 45-3",272207,08," 2H",0,0,86483,1480
"BIG SILVER 34-160",43631,08," ",10180,15710,0,0
"BIG VALLEY 6-20",39164,08," ",339,204,0,0
"BIGHORN 1-31 WD",41730,08," ",0,0,0,0
"BLACK POWDER 1-27",42881,08," ",18350,53185,0,0
"BLACK STONE 34-216",42043,08," ",91,166,0,0
"BLACKTIP 1-21 WRD UNIT",41816,08," ",1572,3656,0,0
"BLACKTIP 1-21 WRD UNIT 1",40663,08," ",3169,4079,0,0
"BLACKTIP 1-42",41088,08," ",1269,1946,0,0
"BLACKTIP 1-43",40406,08," ",0,0,0,0
"BLACKTIP 1-44",40625,08," ",3011,5284,0,0
"BLACKTIP 1-48",40991,08," ",1297,2603,0,0
"BLACKTIP JOHNSON 1-39",39856,08," ",8374,15328,0,0
"BLACKTIP STATE 42",44861,08," ",2217,3802,0,0
"BLACKTIP UNIVERSITY 19-26",42108,08," ",11486,15411,0,0
"BLUE JACKET ""62""",41822,08," ",128,446,0,0
"BLUE JACKET '73'",44763,08," ",3977,6592,0,0
"BOB COUCH 3-10",41583,08," ",122,0,0,0
"BOBCAT 34-175",43852,08," ",8424,10685,0,0
"BODACIOUS C7-19",45253,08," ",20436,40344,0,0
"BOLD BLAKE STATE 57-T2-2",271805,08," 1H",0,0,45154,3904
"BOLD JOHNSON 56-T1-26",270251,08," 1H",0,0,89202,4684
"BOLD JOHNSON 56-T1-30",270567,08," 1H",0,0,125280,5579
"BOLD JOHNSON 56-T1-34",271718,08," 1H",0,0,42912,6033
"BOLD JOHNSON 56-T1-36",271703,08," 1H",0,0,50434,2787
"BOLD JOHNSON 56-T1-42",271675,08," 1H",0,0,54443,8960
"BOUCHER 2",45470,08," ",1089,5265,0,0
"BP 34-211",40619,08," ",4899,9282,0,0
"BRADY 56-1",44568,08," ",4682,23172,0,0
"BRAMBLETT 1-28 WRD",43462,08," ",38109,89526,0,0
"BRAMBLETT 34-216",41517,08," ",858,3536,0,0
BRINE,45438,08," ",0,0,0,0
"BRUNSON ""22""",42146,08," ",1252,900,0,0
