"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Aug 2015 - Aug 2015"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"8RUNSON TRUST 9",47014,08," ",0,0,0,0
"9014 JV-P PITZER",41392,08," ",58,77,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,37427,1947
"ABERNATHY 57-T1-14",45618,08," ",4953,11448,0,0
"ALEXANDER 58-T2-12",277813,08," 1H",0,0,48600,10302
ALLEN,47211,08," ",5724,17626,0,0
"ALLEN 55-2-44 LOV UNIT",46733,08," ",6630,21913,0,0
"ANACONDA STATE 55-2",282985,08," 5H",0,0,36240,5034
"ANACONDA STATE 55-2",283093,08," 7H",0,0,22371,3494
"ANACONDA STATE 55-2",283095,08," 2H",0,0,33385,8547
"ANACONDA STATE 55-2",283136,08," 3H",0,0,32439,4847
"ANACONDA STATE 55-2",283138,08," 1H",0,0,20842,3594
"ANACONDA STATE 55-2",45010,08," ",18872,57191,0,0
"APACHE STATE 55",44793,08," ",0,0,0,0
"APC 28-5",46719,08," ",0,0,0,0
"APC 29-29",47185,08," ",0,0,0,0
"APC FEE 1-38 UNIT",42460,08," ",6245,7262,0,0
"APC FEE 1-40",40729,08," ",12889,20010,0,0
"APC FEE 1-50 UNIT",41231,08," ",18618,40091,0,0
"APC FEE 6",43431,08," ",541,1393,0,0
"APC FEE 6",47511,08," ",0,0,0,0
"ARMSTRONG 14",45537,08," ",142,0,0,0
"ARMSTRONG 16",45227,08," ",482,3406,0,0
"ARMSTRONG STATE 42",48803,08," ",0,0,0,0
"ARNO 78-TTT-B33 WF",46141,08," ",5518,76533,0,0
"ASHLOCK 1-34",41954,08," ",29663,50050,0,0
"ASTRO STATE 12",285902,08," 1H",0,0,31022,2207
"ASTRO STATE 12",48295,08," ",0,0,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,3121,320
"ATLANTA 73",42256,08," ",0,0,0,0
"ATLANTIS 59-10",46352,08," ",0,0,0,0
"AUTOBAHN 34-117",44771,08," ",16820,6175,0,0
"AVANT 29-40",45969,08," ",5880,11028,0,0
"AYERS UNIT ""24""",41978,08," ",1971,3191,0,0
"BAGWELL C27-1",42447,08," ",2419,4857,0,0
BAILEY,46379,08," ",13056,16457,0,0
"BALMORHEA RANCH 49",46601,08," ",2894,5296,0,0
"BALMORHEA STATE",46324,08," ",2890,8217,0,0
"BANNER 57-1-21",279043,08," 2H",0,0,0,0
"BANNER 57-1-21",279225,08," 1H",0,0,0,0
"BARBEE 72-1",268076,08," 1H",0,0,17084,330
"BARNES, D. E. ESTATE",38700,08," ",1094,1514,0,0
"BARNETT 90-TTT-B01 WF",46909,08," ",17759,78380,0,0
"BARRACUDA 49",283806,08," 1",0,0,1436,206
"BARRACUDA 49",44118,08," ",0,0,0,0
"BARRIERS 34-122 UNIT",45898,08," ",13555,15254,0,0
BARSTOW,39273,08," ",0,0,0,0
