"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Sep 2015 - Sep 2015"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"8RUNSON TRUST 9",47014,08," ",8784,17792,0,0
"9014 JV-P PITZER",41392,08," ",36,65,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,29944,1874
"ABERNATHY 57-T1-14",45618,08," ",3381,9143,0,0
ADRIANNA,47205,08," ",4527,13212,0,0
"ALEXANDER 58-T2-12",277813,08," 1H",0,0,43799,9643
ALLEN,47211,08," ",4740,13977,0,0
"ALLEN 55-2-44 LOV UNIT",46733,08," ",8527,23079,0,0
"ANACONDA STATE 55-2",282985,08," 5H",0,0,29537,3659
"ANACONDA STATE 55-2",283093,08," 7H",0,0,19284,3013
"ANACONDA STATE 55-2",283095,08," 2H",0,0,45817,10035
"ANACONDA STATE 55-2",283136,08," 3H",0,0,24722,3596
"ANACONDA STATE 55-2",283138,08," 1H",0,0,16700,3081
"ANACONDA STATE 55-2",45010,08," ",20673,76704,0,0
"APACHE STATE 55",44793,08," ",0,0,0,0
"APC 28-5",46719,08," ",0,0,0,0
"APC 29-29",47185,08," ",0,0,0,0
"APC FEE 1-38 UNIT",42460,08," ",7988,12001,0,0
"APC FEE 1-40",40729,08," ",12462,21303,0,0
"APC FEE 1-50 UNIT",41231,08," ",17800,39736,0,0
"APC FEE 6",43431,08," ",1305,2194,0,0
"APC FEE 6",47511,08," ",0,0,0,0
"APOLLO 7",47326,08," ",792,0,0,0
"ARMSTRONG 14",45537,08," ",298,667,0,0
"ARMSTRONG 16",45227,08," ",789,4225,0,0
"ARMSTRONG STATE 42",48803,08," ",0,0,0,0
"ARNO 78-TTT-B33 WF",46141,08," ",5518,83590,0,0
"ASHLOCK 1-34",41954,08," ",30461,51606,0,0
"ASTRO STATE 12",285902,08," 1H",0,0,34102,1564
"ASTRO STATE 12",48295,08," ",0,0,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,1818,192
"ATLANTA 73",42256,08," ",0,0,0,0
"ATLANTIS 59-10",46352,08," ",0,0,0,0
"AUTOBAHN 34-117",44771,08," ",15948,18275,0,0
"AVANT 29-40",45969,08," ",5579,10451,0,0
"AYERS UNIT ""24""",41978,08," ",1736,1458,0,0
"BAGWELL C27-1",42447,08," ",2067,4959,0,0
BAILEY,46379,08," ",10967,13646,0,0
"BALMORHEA RANCH 49",46601,08," ",0,0,0,0
"BALMORHEA STATE",46324,08," ",2751,7891,0,0
"BANNER 57-1-21",279043,08," 2H",0,0,0,0
"BANNER 57-1-21",279225,08," 1H",0,0,0,0
"BARBEE 72-1",268076,08," 1H",0,0,15412,284
"BARNES, D. E. ESTATE",38700,08," ",1432,1370,0,0
"BARNETT 90-TTT-B01 WF",46909,08," ",41976,191608,0,0
"BARRACUDA 49",283806,08," 1",0,0,1837,256
"BARRACUDA 49",44118,08," ",0,0,0,0
"BARRIERS 34-122 UNIT",45898,08," ",13098,15557,0,0
BARSTOW,39273,08," ",0,0,0,0
"BARSTOW 33-34",47050,08," ",0,0,0,0
"BATES 1-63 LOV UNIT",44469,08," ",8071,17972,0,0
"BATES 1-77 LOV UNIT",44788,08," ",5667,16861,0,0
"BAYER '13'",46894,08," ",1508,1368,0,0
"BEAVERHEAD STATE 2-24 UNIT",45549,08," ",4754,17319,0,0
"BECKHAM CALDWELL 5-43",268221,08," 1H",0,0,4475,1041
"BENTON 3-12",44948,08," ",2781,5386,0,0
BENTZ,48403,08," ",21037,19426,0,0
"BERKLEY STATE EAST UNIT",46946,08," ",12830,13877,0,0
"BETTS 54-4-26 RVS",44643,08," ",2374,3666,0,0
"BETTYE HANSARD STATE 45-3",272207,08," 2H",0,0,10491,106
"BIG HORN STATE 56-2-9 UNIT",279044,08," 1H",0,0,0,0
"BIG HORN STATE 56-2-9 UNIT",279159,08," 3H",0,0,0,0
"BIG HORN STATE 56-2-9 UNIT",279162,08," 2H",0,0,0,0
"BIG PINEY 57-2-41",277111,08," 1H",0,0,28636,8067
"BIG SILVER 34-160",43631,08," ",11581,28160,0,0
"BIG TIMBER STATE 57-25 UNIT",283094,08," 1H",0,0,120474,21205
"BIG TIMBER STATE 57-25 UNIT",46782,08," ",0,0,0,0
"BIG VALLEY 6-20",39164,08," ",419,239,0,0
"BIGHORN 1-31 WD",41730,08," ",0,0,0,0
"BIGHORN NORTH UNIT 1-31",283073,08," 1H",0,0,87445,10535
"BIGHORN NORTH UNIT 1-31",46564,08," ",0,0,0,0
"BILLY BURT 90-TTT-B33 WF",47373,08," ",14109,39102,0,0
"BLACK POWDER 1-27",42881,08," ",1023,62,0,0
"BLACK STONE 34-216",42043,08," ",476,2128,0,0
"BLACKTIP 1-21 WRD UNIT",41816,08," ",2106,3129,0,0
"BLACKTIP 1-21 WRD UNIT 1",40663,08," ",2636,4194,0,0
"BLACKTIP 1-42",41088,08," ",1827,3821,0,0
"BLACKTIP 1-42 UNIT",46876,08," ",0,0,0,0
"BLACKTIP 1-43",40406,08," ",1466,1919,0,0
"BLACKTIP 1-44",40625,08," ",7734,26460,0,0
"BLACKTIP 1-48",40991,08," ",866,1615,0,0
"BLACKTIP JOHNSON 1-39",39856,08," ",6589,14335,0,0
"BLACKTIP STATE 42",44861,08," ",5942,8883,0,0
"BLACKTIP STATE 43",46804,08," ",41768,68922,0,0
"BLACKTIP UNIVERSITY 19-26",42108,08," ",4023,5154,0,0
"BLUE CREST",46676,08," ",18959,26936,0,0
"BLUE DUCK 35",46087,08," ",5491,16017,0,0
"BLUE JACKET ""62""",41822,08," ",79,0,0,0
"BLUE JACKET '73'",44763,08," ",1470,2350,0,0
"BOB COUCH 3-10",41583,08," ",706,1238,0,0
"BOBCAT 34-175",43852,08," ",5005,15425,0,0
"BOBCAT STATE UNIT 4702",47651,08," ",0,0,0,0
"BODACIOUS C7-19",45253,08," ",1521,4359,0,0
"BOHLANDER 33-95",279553,08," 1H",0,0,100439,17664
"BOHLANDER 33-95",46326,08," ",0,0,0,0
"BOLD BLAKE STATE 57-T2-2",271805,08," 1H",0,0,21958,1454
"BOLD JOHNSON 56-T1-26",270251,08," 1H",0,0,25296,2281
"BOLD JOHNSON 56-T1-26",278368,08," 2H",0,0,25393,7001
"BOLD JOHNSON 56-T1-30",270567,08," 1H",0,0,43078,4731
"BOLD JOHNSON 56-T1-30",278426,08," 2H",0,0,35096,6962
"BOLD JOHNSON 56-T1-34",271718,08," 1H",0,0,10200,1051
"BOLD JOHNSON 56-T1-36",271703,08," 1H",0,0,19644,2762
"BOLD JOHNSON 56-T1-36",275462,08," 2H",0,0,20616,5107
"BOLD JOHNSON 56-T1-42",271675,08," 1H",0,0,11336,2649
"BOLD JOHNSON 56-T1-42",278250,08," 2H",0,0,39261,10669
"BONNETHEAD 53-2-1 LOV UNIT A",47556,08," ",0,0,0,0
"BONNETHEAD 53-2-13 LOV UNIT",46807,08," ",33109,61216,0,0
"BONNETHEAD 53-2-21 LOV",47020,08," ",0,0,0,0
"BOUCHER 2",45470,08," ",429,1720,0,0
"BOULDER STATE 57-32",283071,08," 1H",0,0,124590,20417
"BOULDER STATE 57-32",46511,08," ",0,0,0,0
"BP 34-211",40619,08," ",3403,8144,0,0
"BRADY 56-1",44568,08," ",794,19348,0,0
"BRAMBLETT 1-28 WRD",43462,08," ",8916,22465,0,0
"BRAMBLETT 34-197 WRD",45514,08," ",5545,27445,0,0
"BRAMBLETT 34-216",41517,08," ",436,2919,0,0
"BRAZOS 34-104",46152,08," ",651,900,0,0
"BRIDGER 1-36",282996,08," 2H",0,0,50884,8512
"BRIDGER 1-36",283146,08," 1H",0,0,39603,7449
"BRIDGER 1-36",45192,08," ",0,0,0,0
BRINE,45438,08," ",0,0,0,0
"BRONZE 6-15",46458,08," ",2152,15123,0,0
BROOKS,45888,08," ",2477,3293,0,0
"BROWN STATE 56-T2-44",277117,08," 1H",0,0,57000,6508
"BROWN STATE 56-T3-2",46970,08," ",6072,29449,0,0
"BRUMLOW 46",45984,08," ",4484,3641,0,0
"BRUMLOW 48",45433,08," ",3686,3762,0,0
"BRUNSON ""22""",42146,08," ",836,0,0,0
"BRUNSON '22A'",46561,08," ",4907,0,0,0
"BRUNSON '26-17'",46742,08," ",3905,0,0,0
"BRUNSON 48",46539,08," ",1479,0,0,0
"BRUNSON A",46821,08," ",20197,30337,0,0
"BRUNSON TRUST 16",46144,08," ",4669,6100,0,0
"BUCKIN CHUTE 33-61",42563,08," ",3236,3942,0,0
"BUCKIN CHUTE UNIT 33-61",45246,08," ",4565,19652,0,0
"BUFFALO 55-5-39",276205,08," 1H",0,0,0,0
"BUNIN 4",285585,08," 3H",0,0,22964,4940
"BUNIN 4",285687,08," 4H",0,0,16464,4352
"BUNIN 4",285691,08," 2H",0,0,5194,1483
"BUNIN 4",285903,08," 5H",0,0,24910,6012
"BUNIN 4",45742,08," ",0,0,0,0
"BURRELL STATE 34-143 UNIT",44806,08," ",3223,3465,0,0
"BYERLEY 1-33",46812,08," ",4135,5179,0,0
"BYRD 34-170 UNIT",42475,08," ",8829,14582,0,0
"C.G. LUDEMAN 'B'",45241,08," ",917,0,0,0
"C.H. KNIGHT",45862,08," ",13328,27627,0,0
"C.J. LEE STATE 27",277514,08," 1H",0,0,1542,36
"CABRITO LTD STATE 62",283590,08," 1H",0,0,72232,10936
"CABRITO LTD STATE 62",47550,08," ",0,0,0,0
"CALAMITY JANE WEST",39285,08," ",342,1485,0,0
"CAMP STATE 56-T2-8",273044,08," 1H",0,0,45081,2556
CAPROCK,46691,08," ",4083,6464,0,0
"CARDINAL 4",47457,08," ",1634,6403,0,0
"CARR 34-125 UNIT",45824,08," ",8100,8474,0,0
"CASPER 57-1-47",276563,08," 1H",0,0,41233,8840
"CASPER 57-2-11",279239,08," 1H",0,0,0,0
"CASTLE 57-27",283168,08," 1H",0,0,59690,3841
"CASTLE 57-27",46108,08," ",0,0,0,0
"CBR 10",285719,08," 4H",0,0,37297,6724
"CBR 10",45715,08," ",0,0,0,0
"CBR 12",285721,08," 4H",0,0,49740,7258
"CBR 12",45721,08," ",0,0,0,0
"CBR 14",285722,08," 2H",0,0,18890,3477
"CBR 14",46414,08," ",0,0,0,0
"CBR 18",285706,08," 3H",0,0,11628,2372
"CBR 18",45714,08," ",2373,9019,0,0
