"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Sep 2017 - Sep 2017"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"8RUNSON TRUST 9",47014,08," ",7361,8198,0,0
"9014 JV-P PITZER",41392,08," ",22,0,0,0
"A HERRING 94-93 UNIT",49527,08," ",35923,38122,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,21463,560
"ABERNATHY 57-T1-14",45618,08," ",1412,5946,0,0
ACE,283213,08," L 06H",0,0,0,0
"ADMIRAL 4-48 47",284860,08," 1H",0,0,72773,9585
"ADMIRAL 4-48 47",48321,08," ",0,0,0,0
ADOBE,48634,08," ",5951,4302,0,0
ADRIANNA,47205,08," ",1479,5577,0,0
ALAMEDA,48683,08," ",0,0,0,0
"ALAMEDA STATE UNIT 54-8-1",49518,08," ",36567,200981,0,0
"ALCATRAZ STATE 34-141 UNIT",49585,08," ",0,0,0,0
"ALEXANDER 58-T2-12",277813,08," 1H",0,0,24811,3557
"ALLAR STATE UNIT 2877",49403,08," ",0,0,0,0
ALLEN,47211,08," ",1582,4756,0,0
"ALLEN 55-2-44 LOV UNIT",46733,08," ",3306,12563,0,0
"ALLEN 55-2-44 LOV UNIT E",48063,08," ",5783,23894,0,0
"AMARILLO BY MORNING 54-T2-42",282869,08," 1H",0,0,19893,3612
"AMARILLO BY MORNING 54-T2-42",282873,08," 2H",0,0,23241,4238
"AMERICAN PHAROAH",47777,08," ",668,16403,0,0
"ANACONDA STATE 55-2",282985,08," 5H",0,0,15937,1822
"ANACONDA STATE 55-2",283093,08," 7H",0,0,553,84
"ANACONDA STATE 55-2",283095,08," 2H",0,0,2621,592
"ANACONDA STATE 55-2",283136,08," 3H",0,0,15045,1571
"ANACONDA STATE 55-2",283138,08," 1H",0,0,4596,756
"ANACONDA STATE 55-2",45010,08," ",6229,28726,0,0
"ANTIETAM 54-4-27",283185,08," 1H",0,0,0,0
"APACHE STATE 55",44793,08," ",0,0,0,0
"APC 2-21",48477,08," ",0,0,0,0
"APC 29-29",47185,08," ",0,0,0,0
"APC 55-1-37",48989,08," ",0,0,0,0
"APC 76-10",48428,08," ",0,0,0,0
"APC FEE 1-38 UNIT",42460,08," ",824,1131,0,0
"APC FEE 1-40",40729,08," ",912,1551,0,0
"APC FEE 1-50 UNIT",41231,08," ",10357,35302,0,0
"APC FEE 6",43431,08," ",962,1805,0,0
"APC FEE 6",47511,08," ",0,0,0,0
"APOLLO 7",47326,08," ",12459,30892,0,0
"ARGENTINE 71",48782,08," ",12001,41249,0,0
"ARMSTRONG 14",45537,08," ",227,1403,0,0
"ARMSTRONG 16",45227,08," ",219,2237,0,0
"ARMSTRONG STATE 42",48803,08," ",0,0,0,0
"ARNO 78-TTT-B33 WF",46141,08," ",6289,138361,0,0
"ARROW 56-2-7",283526,08," 1H",0,0,0,0
"ASH 55-1-32 UNIT",282757,08," 1H",0,0,0,0
"ASHLOCK 1-34",41954,08," ",10138,31715,0,0
"ASSAULT 126",48392,08," ",7565,22636,0,0
"ASTRO STATE 12",285902,08," 1H",0,0,0,0
"ASTRO STATE 12",48295,08," ",0,0,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,1734,230
"ATLANTA 73",42256,08," ",0,0,0,0
"ATLANTIS 59-10",46352,08," ",176,53773,0,0
"AUTOBAHN 34-117",44771,08," ",9682,11974,0,0
"AVALANCHE 29-40 UNIT",47807,08," ",10862,16555,0,0
"AVALANCHE 42-27",49931,08," ",14805,18644,0,0
"AVANT 29-40",45969,08," ",1367,2801,0,0
"AYERS UNIT ""24""",41978,08," ",1096,1633,0,0
"BADLANDS 54-2-19",284474,08," 1H",0,0,49907,11574
"BADLANDS 54-2-19",48523,08," ",0,0,0,0
"BAGWELL C27-1",42447,08," ",1168,3056,0,0
"BAKU 56-2-41",282807,08," 1H",0,0,0,0
