"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Nov 2018 - Nov 2018"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"8RUNSON TRUST 9",47014,08," ",17121,30633,0,0
"9014 JV-P PITZER",41392,08," ",0,0,0,0
"A CLASSIC DASH 18",51555,08," ",3312,8289,0,0
"A HERRING 94-93 UNIT",49527,08," ",63919,69208,0,0
"A.G. HILL",50673,08," ",2397,1222,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,18730,1031
"ABERNATHY 57-T1-14",45618,08," ",2829,14571,0,0
ACE,283213,08," L 06H",0,0,68405,8220
"ADMIRAL 4-48 47",284860,08," 1H",0,0,33326,5593
"ADMIRAL 4-48 47",48321,08," ",0,0,0,0
ADOBE,48634,08," ",941,1103,0,0
"ADOBE A",50110,08," ",8755,11457,0,0
"ADOBE B",50111,08," ",7274,10438,0,0
"ADOBE C",51278,08," ",7205,10206,0,0
"ADOBE D",51279,08," ",20062,28361,0,0
"ADOBE E",51280,08," ",14464,12551,0,0
ADRIANNA,47205,08," ",768,4467,0,0
"AFFIRMED 6",49761,08," ",12189,48303,0,0
"AGGIE UNIT 75-67-66",50860,08," ",13757,81803,0,0
ALAMEDA,48683,08," ",0,0,0,0
"ALAMEDA STATE UNIT 54-8-1",49518,08," ",50708,265301,0,0
"ALCATRAZ STATE 34-141 UNIT",49585,08," ",22111,33391,0,0
"ALEXANDER 58-T2-12",277813,08," 1H",0,0,22001,3612
"ALLAR STATE UNIT 2877",286324,08," 2H",0,0,57909,8852
"ALLAR STATE UNIT 2877",286385,08," 1H",0,0,34785,4237
"ALLAR STATE UNIT 2877",49403,08," ",0,0,0,0
ALLEN,47211,08," ",3413,9084,0,0
"ALLEN 55-2-44 LOV UNIT",286761,08," 2H",0,0,0,0
"ALLEN 55-2-44 LOV UNIT",46733,08," ",1394,2971,0,0
"ALLEN 55-2-44 LOV UNIT E",48063,08," ",2644,16613,0,0
"AMARILLO BY MORNING 54-T2-42",282869,08," 1H",0,0,6740,2519
"AMARILLO BY MORNING 54-T2-42",282873,08," 2H",0,0,11665,1757
"AMERICAN PHAROAH",47777,08," ",526,13278,0,0
"ANACONDA STATE 55-2",282985,08," 5H",0,0,9116,1017
"ANACONDA STATE 55-2",283093,08," 7H",0,0,7172,1023
"ANACONDA STATE 55-2",283095,08," 2H",0,0,13802,2762
"ANACONDA STATE 55-2",283136,08," 3H",0,0,12586,1016
"ANACONDA STATE 55-2",283138,08," 1H",0,0,0,0
"ANACONDA STATE 55-2",45010,08," ",5550,24994,0,0
"ANDREA SWD",51006,08," ",0,0,0,0
"ANGELS ENVY 4-3W UNIT",286792,08," 1H",0,0,0,0
"ANTIETAM 54-4-27",283185,08," 1H",0,0,0,0
"APACHE STATE 55",44793,08," ",0,0,0,0
"APC 2-21",48477,08," ",0,0,0,0
"APC 2-28",49283,08," ",0,0,0,0
"APC 29-29",47185,08," ",0,0,0,0
