"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Aug 2009 - Aug 2009"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"BARNES, D. E. ESTATE",38700,08," ",8482,3517,0,0
BARSTOW,39273,08," ",814,2198,0,0
"BIG VALLEY 6-20",39164,08," ",1316,1543,0,0
"CALAMITY JANE WEST",39285,08," ",645,1844,0,0
"CHEVY 17",39369,08," ",759,587,0,0
"DAVIS '33-20'",39239,08," ",8962,5924,0,0
"DAVIS 33-19",39540,08," ",3433,2180,0,0
"EFFIE PONDER EST. 33-18",38719,08," ",3865,2309,0,0
"FIELDS 33-25",39205,08," ",4919,3582,0,0
"FIELDS 33-27",39128,08," ",1292,748,0,0
"HOWARD 33-22",38658,08," ",3114,1967,0,0
"HOWARD, BERNICE",30307,08," ",40,0,0,0
INTERSTATE,39572,08," ",346,825,0,0
"JOHNSON 33-21",39485,08," ",8085,5382,0,0
"KHC '33-26'",39289,08," ",7031,5508,0,0
"KHC 33-24",38618,08," ",11213,7862,0,0
"KW STATE",39341,08," ",508,512,0,0
"LEE -128-",28269,08," ",55,0,0,0
"MATTHES STATE",39360,08," ",677,1201,0,0
"MILLER STATE 140",39389,08," ",3903,5655,0,0
"MILLER STATE 152",39538,08," ",1768,1583,0,0
"MILLER STATE 30",39374,08," ",1356,1120,0,0
"SEARLS 34-115",39431,08," ",4440,8610,0,0
"VICKERS '34-127'",39484,08," ",1572,2323,0,0
"WILSON TRUST 126",39206,08," ",1339,5057,0,0
WORSHAM,39668,08," ",715,710,0,0
"WORSHAM '6-18'",39429,08," ",1698,4311,0,0
"WORSHAM '6-22'",39277,08," ",4269,3189,0,0
Total," "," "," ",86616,80247,0,0
