"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Dec 2009 - Dec 2009"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"BARNES, D. E. ESTATE",38700,08," ",5073,6271,0,0
BARSTOW,39273,08," ",761,3222,0,0
"BIG VALLEY 6-20",39164,08," ",1068,1756,0,0
"CALAMITY JANE WEST",39285,08," ",556,3043,0,0
"CHEVRON 34-181",39830,08," ",9285,17456,0,0
"CHEVY 17",39369,08," ",425,658,0,0
"DAVIS '33-20'",39239,08," ",15946,15569,0,0
"DAVIS 33-19",39540,08," ",2695,2739,0,0
"EFFIE PONDER EST. 33-18",38719,08," ",14659,15454,0,0
"EMMONS 6-21",40959,08," ",0,0,0,0
"FIELDS 33-25",39205,08," ",2884,3183,0,0
"FIELDS 33-27",39128,08," ",1086,1493,0,0
"HOWARD 33-22",38658,08," ",2622,2961,0,0
"HOWARD, BERNICE",30307,08," ",26,0,0,0
INTERSTATE,39572,08," ",305,1104,0,0
"JOHNSON 33-21",39485,08," ",3740,3834,0,0
"KHC '33-26'",39289,08," ",8986,11679,0,0
"KHC 33-24",38618,08," ",7362,9336,0,0
"KW STATE",39341,08," ",255,151,0,0
"LEE -128-",28269,08," ",51,0,0,0
"MATTHES STATE",39360,08," ",585,1639,0,0
"MILLER STATE 140",39389,08," ",3044,3272,0,0
"MILLER STATE 152",39538,08," ",3246,3954,0,0
"MILLER STATE 30",39374,08," ",762,662,0,0
"SEARLS 34-115",39431,08," ",5165,15172,0,0
"UNIVERSITY 18-40",42956,08," ",17001,32152,0,0
"VICKERS '34-127'",39484,08," ",2941,2853,0,0
"WILSON TRUST 126",39206,08," ",1364,6421,0,0
WORSHAM,39668,08," ",546,1442,0,0
"WORSHAM '6-18'",39429,08," ",1556,6391,0,0
"WORSHAM '6-22'",39277,08," ",3542,4526,0,0
Total," "," "," ",117537,178393,0,0
