"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Oct 2011 - Oct 2011"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"APC FEE 1-40",40729,08," ",6144,9397,0,0
"APC FEE 1-50 UNIT",41231,08," ",2504,4647,0,0
"ASHLOCK 1-34",41954,08," ",6438,10298,0,0
"AYERS UNIT ""24""",41978,08," ",6611,8665,0,0
"BARNES, D. E. ESTATE",38700,08," ",3478,9331,0,0
BARSTOW,39273,08," ",487,2023,0,0
"BIG VALLEY 6-20",39164,08," ",664,1057,0,0
"BIGHORN 1-31 WD",41730,08," ",760,471,0,0
"BLACK STONE 34-216",42043,08," ",1131,13992,0,0
"BLACKTIP 1-21 WRD UNIT",41816,08," ",11497,14302,0,0
"BLACKTIP 1-21 WRD UNIT 1",40663,08," ",1488,5176,0,0
"BLACKTIP 1-42",41088,08," ",2318,4045,0,0
"BLACKTIP 1-43",40406,08," ",2513,4651,0,0
"BLACKTIP 1-44",40625,08," ",6139,13160,0,0
"BLACKTIP 1-48",40991,08," ",3821,5631,0,0
"BLACKTIP JOHNSON 1-39",39856,08," ",9600,11821,0,0
"BLUE JACKET ""62""",41822,08," ",1492,2210,0,0
"BOB COUCH 3-10",41583,08," ",2046,5600,0,0
"BP 34-211",40619,08," ",10195,21630,0,0
"BRAMBLETT 34-216",41517,08," ",2201,11368,0,0
"BRUNSON ""22""",42146,08," ",1677,581,0,0
"CALAMITY JANE WEST",39285,08," ",367,1220,0,0
"CHATTERFROG 151",41557,08," ",10737,15449,0,0
"CHEVRON 34-157",40151,08," ",147,136,0,0
"CHEVRON 34-179",39755,08," ",3772,9993,0,0
"CHEVRON 34-181",39830,08," ",1970,4668,0,0
"CHEVY 17",39369,08," ",484,809,0,0
"COLONEL DRAKE 24",41295,08," ",4361,8682,0,0
"COLT 34-212",40262,08," ",22734,36825,0,0
"COOPERSMITH 34-139",41817,08," ",5314,8048,0,0
"CROCKETT 1-26 WRD",41052,08," ",30521,60900,0,0
"CROCKETT 1-29 WRD UNIT",41763,08," ",0,0,0,0
"DAVIS '33-20'",39239,08," ",15302,15183,0,0
"DAVIS 33-19",39540,08," ",1980,3903,0,0
"DAYTONA 14",41914,08," ",1729,2401,0,0
"DRAKESTER 209",283980,08," 2H",0,0,105817,17574
"DRAKESTER 209",42086,08," ",0,0,0,0
"EAST VERMEJO 33-66",41507,08," ",15377,43421,0,0
"EFFIE PONDER EST. 33-18",38719,08," ",3324,4455,0,0
"EMMONS 6-21",40959,08," ",0,0,0,0
"FIELDER STATE 2-10",41866,08," ",1954,10680,0,0
"FIELDS 33-25",39205,08," ",6234,5490,0,0
"FIELDS 33-27",39128,08," ",5909,7734,0,0
"FOWLER 34-193",40254,08," ",13294,27634,0,0
"GELTEMEYER 61",266022,08," 1",0,0,0,0
"HEXAD 34-180",41026,08," ",2949,6107,0,0
"HOWARD 33-22",38658,08," ",6593,6912,0,0
"HOWARD, BERNICE",30307,08," ",121,0,0,0
"HUMANE SOCIETY 34-187",41560,08," ",1577,4287,0,0
"HUMANE SOCIETY 34-198 WRD",42026,08," ",7633,26175,0,0
INTERSTATE,39572,08," ",224,667,0,0
