"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Jun 2013 - Jun 2013"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"9014 JV-P PITZER",41392,08," ",128,206,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,115316,6713
"APC FEE 1-38 UNIT",42460,08," ",7967,15113,0,0
"APC FEE 1-40",40729,08," ",8678,15405,0,0
"APC FEE 1-50 UNIT",41231,08," ",11782,22228,0,0
"APC FEE 6",43431,08," ",2923,5188,0,0
"ARMSTRONG 14",45537,08," ",399,1259,0,0
"ARMSTRONG 16",45227,08," ",1170,14958,0,0
"ASHLOCK 1-34",41954,08," ",1101,1648,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,4346,351
"ATLANTA 73",42256,08," ",0,0,0,0
"AYERS UNIT ""24""",41978,08," ",2688,3731,0,0
"BAGWELL C27-1",42447,08," ",3033,8278,0,0
"BARBEE 72-1",268076,08," 1H",0,0,0,0
"BARNES, D. E. ESTATE",38700,08," ",2640,2832,0,0
"BARRACUDA 49",283806,08," 1",0,0,8042,795
"BARRACUDA 49",44118,08," ",0,0,0,0
BARSTOW,39273,08," ",423,1104,0,0
"BARTSOW UNIT 33-35",45119,08," ",0,0,0,0
"BATES 1-63 LOV UNIT",44469,08," ",0,0,0,0
"BECKHAM CALDWELL 5-43",268221,08," 1H",0,0,10516,2820
"BENTON 3-12",44948,08," ",1924,8633,0,0
"BETTYE HANSARD STATE 45-3",272207,08," 2H",0,0,23778,279
"BIG SILVER 34-160",43631,08," ",25292,37321,0,0
"BIG VALLEY 6-20",39164,08," ",469,575,0,0
"BIGHORN 1-31 WD",41730,08," ",0,0,0,0
"BLACK POWDER 1-27",42881,08," ",25506,53854,0,0
"BLACK STONE 34-216",42043,08," ",1204,6258,0,0
"BLACKTIP 1-21 WRD UNIT",41816,08," ",497,3475,0,0
"BLACKTIP 1-21 WRD UNIT 1",40663,08," ",3670,2498,0,0
"BLACKTIP 1-42",41088,08," ",1070,1241,0,0
"BLACKTIP 1-43",40406,08," ",1289,2246,0,0
