"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Jul 2014 - Jul 2014"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"9014 JV-P PITZER",41392,08," ",74,150,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,62206,3314
"ABERNATHY 57-T1-14",45618,08," ",12962,47061,0,0
"ANACONDA STATE 55-2",283138,08," 1H",0,0,41499,8632
"ANACONDA STATE 55-2",45010,08," ",0,0,0,0
"APACHE STATE 55",44793,08," ",0,0,0,0
"APC FEE 1-38 UNIT",42460,08," ",6195,10888,0,0
"APC FEE 1-40",40729,08," ",10754,17094,0,0
"APC FEE 1-50 UNIT",41231,08," ",30207,43097,0,0
"APC FEE 6",43431,08," ",1571,5512,0,0
"ARMSTRONG 14",45537,08," ",293,1886,0,0
"ARMSTRONG 16",45227,08," ",750,6488,0,0
"ARNO 78-TTT-B33 WF",46141,08," ",265,0,0,0
"ASHLOCK 1-34",41954,08," ",55357,86075,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,4695,423
"ATLANTA 73",42256,08," ",0,0,0,0
"ATLANTIS 59-10",46352,08," ",0,0,0,0
"AUTOBAHN 34-117",44771,08," ",40226,42234,0,0
"AYERS UNIT ""24""",41978,08," ",1550,2035,0,0
"BAGWELL C27-1",42447,08," ",2773,7162,0,0
"BALMORHEA STATE",46324,08," ",7939,14119,0,0
"BARBEE 72-1",268076,08," 1H",0,0,33724,736
"BARNES, D. E. ESTATE",38700,08," ",1249,1940,0,0
"BARRACUDA 49",283806,08," 1",0,0,1928,359
"BARRACUDA 49",44118,08," ",0,0,0,0
BARSTOW,39273,08," ",260,905,0,0
"BARTSOW UNIT 33-35",45119,08," ",0,0,0,0
"BATES 1-63 LOV UNIT",44469,08," ",2391,7157,0,0
"BATES 1-77 LOV UNIT",44788,08," ",17189,53940,0,0
"BEAVERHEAD STATE 2-24 UNIT",45549,08," ",12706,42147,0,0
"BECKHAM CALDWELL 5-43",268221,08," 1H",0,0,1749,980
"BENTON 3-12",44948,08," ",3630,9843,0,0
"BETTS 54-4-26 RVS",44643,08," ",3291,12638,0,0
"BETTYE HANSARD STATE 45-3",272207,08," 2H",0,0,37190,328
"BIG SILVER 34-160",43631,08," ",28679,41353,0,0
"BIG VALLEY 6-20",39164,08," ",746,5579,0,0
"BIGHORN 1-31 WD",41730,08," ",0,0,0,0
"BLACK POWDER 1-27",42881,08," ",6723,17415,0,0
"BLACK STONE 34-216",42043,08," ",778,2898,0,0
"BLACKTIP 1-21 WRD UNIT",41816,08," ",802,803,0,0
"BLACKTIP 1-21 WRD UNIT 1",40663,08," ",8457,12055,0,0
"BLACKTIP 1-42",41088,08," ",2313,361,0,0
"BLACKTIP 1-43",40406,08," ",1310,2150,0,0
"BLACKTIP 1-44",40625,08," ",16374,41466,0,0
"BLACKTIP 1-48",40991,08," ",979,1178,0,0
"BLACKTIP JOHNSON 1-39",39856,08," ",7845,12099,0,0
"BLACKTIP STATE 42",44861,08," ",7621,15272,0,0
"BLACKTIP STATE 43",46804,08," ",0,0,0,0
"BLACKTIP UNIVERSITY 19-26",42108,08," ",7488,9281,0,0
"BLUE CREST",46676,08," ",11793,14686,0,0
"BLUE JACKET ""62""",41822,08," ",96,524,0,0
"BLUE JACKET '73'",44763,08," ",2203,6168,0,0
"BOB COUCH 3-10",41583,08," ",781,887,0,0
"BOBCAT 34-175",43852,08," ",7181,14122,0,0
"BODACIOUS C7-19",45253,08," ",4233,8450,0,0
"BOLD BLAKE STATE 57-T2-2",271805,08," 1H",0,0,37698,2466
"BOLD JOHNSON 56-T1-26",270251,08," 1H",0,0,37620,2045
"BOLD JOHNSON 56-T1-30",270567,08," 1H",0,0,45364,2967
"BOLD JOHNSON 56-T1-34",271718,08," 1H",0,0,47053,2727
