"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Oct 2014 - Oct 2014"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"9014 JV-P PITZER",41392,08," ",63,159,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,54668,2505
"ABERNATHY 57-T1-14",45618,08," ",7788,25528,0,0
"ANACONDA STATE 55-2",283138,08," 1H",0,0,57,1
"ANACONDA STATE 55-2",45010,08," ",0,0,0,0
"APACHE STATE 55",44793,08," ",0,0,0,0
"APC 28-5",46719,08," ",0,0,0,0
"APC FEE 1-38 UNIT",42460,08," ",5243,8995,0,0
"APC FEE 1-40",40729,08," ",13498,20377,0,0
"APC FEE 1-50 UNIT",41231,08," ",31783,58195,0,0
"APC FEE 6",43431,08," ",1469,4000,0,0
"APC FEE 6",47511,08," ",0,0,0,0
"ARMSTRONG 14",45537,08," ",389,1150,0,0
"ARMSTRONG 16",45227,08," ",845,4256,0,0
"ARNO 78-TTT-B33 WF",46141,08," ",0,0,0,0
"ASHLOCK 1-34",41954,08," ",41884,61016,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,3012,472
"ATLANTA 73",42256,08," ",0,0,0,0
"ATLANTIS 59-10",46352,08," ",1857,51278,0,0
"AUTOBAHN 34-117",44771,08," ",26972,35586,0,0
"AVANT 29-40",45969,08," ",195,739,0,0
"AYERS UNIT ""24""",41978,08," ",1439,1450,0,0
"BAGWELL C27-1",42447,08," ",2260,5508,0,0
"BALMORHEA STATE",46324,08," ",7682,19263,0,0
"BARBEE 72-1",268076,08," 1H",0,0,25169,516
"BARNES, D. E. ESTATE",38700,08," ",1064,3615,0,0
"BARNETT 90-TTT-B01 WF",46909,08," ",12,0,0,0
"BARRACUDA 49",283806,08," 1",0,0,536,223
"BARRACUDA 49",44118,08," ",0,0,0,0
"BARRIERS 34-122 UNIT",45898,08," ",21257,22592,0,0
BARSTOW,39273,08," ",244,649,0,0
"BARTSOW UNIT 33-35",45119,08," ",0,0,0,0
"BATES 1-63 LOV UNIT",44469,08," ",3033,9793,0,0
"BATES 1-77 LOV UNIT",44788,08," ",8293,24366,0,0
"BEAVERHEAD STATE 2-24 UNIT",45549,08," ",12185,41833,0,0
"BECKHAM CALDWELL 5-43",268221,08," 1H",0,0,2840,1335
"BENTON 3-12",44948,08," ",1626,3496,0,0
"BETTS 54-4-26 RVS",44643,08," ",2563,7493,0,0
"BETTYE HANSARD STATE 45-3",272207,08," 2H",0,0,29605,262
"BIG PINEY 57-2-41",277111,08," 1H",0,0,33616,5468
"BIG SILVER 34-160",43631,08," ",13771,22667,0,0
"BIG VALLEY 6-20",39164,08," ",0,0,0,0
"BIGHORN 1-31 WD",41730,08," ",0,0,0,0
"BLACK POWDER 1-27",42881,08," ",4306,8578,0,0
"BLACK STONE 34-216",42043,08," ",1027,5136,0,0
"BLACKTIP 1-21 WRD UNIT",41816,08," ",4109,6835,0,0
"BLACKTIP 1-21 WRD UNIT 1",40663,08," ",5619,10803,0,0
"BLACKTIP 1-42",41088,08," ",2812,4797,0,0
"BLACKTIP 1-43",40406,08," ",1405,2276,0,0
"BLACKTIP 1-44",40625,08," ",4127,7147,0,0
"BLACKTIP 1-48",40991,08," ",1023,1643,0,0
"BLACKTIP JOHNSON 1-39",39856,08," ",6459,9911,0,0
"BLACKTIP STATE 42",44861,08," ",7306,14066,0,0
"BLACKTIP STATE 43",46804,08," ",0,0,0,0
"BLACKTIP UNIVERSITY 19-26",42108,08," ",6573,8776,0,0
"BLUE CREST",46676,08," ",6757,9809,0,0
"BLUE DUCK 35",46087,08," ",2107,4306,0,0
"BLUE JACKET ""62""",41822,08," ",0,74,0,0
"BLUE JACKET '73'",44763,08," ",1549,5805,0,0
"BOB COUCH 3-10",41583,08," ",728,1070,0,0
"BOBCAT 34-175",43852,08," ",12170,28200,0,0
"BODACIOUS C7-19",45253,08," ",3075,5758,0,0
"BOLD BLAKE STATE 57-T2-2",271805,08," 1H",0,0,25654,1885
"BOLD JOHNSON 56-T1-26",270251,08," 1H",0,0,62221,5057
"BOLD JOHNSON 56-T1-26",278368,08," 2H",0,0,76807,20467
"BOLD JOHNSON 56-T1-30",270567,08," 1H",0,0,34804,2709
"BOLD JOHNSON 56-T1-34",271718,08," 1H",0,0,37183,2189
"BOLD JOHNSON 56-T1-36",271703,08," 1H",0,0,0,0
"BOLD JOHNSON 56-T1-36",275462,08," 2H",0,0,61385,13240
"BOLD JOHNSON 56-T1-42",271675,08," 1H",0,0,21822,4785
"BOUCHER 2",45470,08," ",511,3545,0,0
"BP 34-211",40619,08," ",3810,10175,0,0
"BRADY 56-1",44568,08," ",1387,20551,0,0
"BRAMBLETT 1-28 WRD",43462,08," ",7483,23843,0,0
"BRAMBLETT 34-197 WRD",45514,08," ",12357,57688,0,0
"BRAMBLETT 34-216",41517,08," ",0,0,0,0
"BRIDGER 1-36",282996,08," 2H",0,0,35592,7354
"BRIDGER 1-36",283146,08," 1H",0,0,36957,7284
"BRIDGER 1-36",45192,08," ",0,0,0,0
BRINE,45438,08," ",0,0,0,0
BROOKS,45888,08," ",3902,5616,0,0
"BROWN STATE 56-T2-44",277117,08," 1H",0,0,30297,5795
"BRUMLOW 48",45433,08," ",7628,9474,0,0
"BRUNSON ""22""",42146,08," ",454,1234,0,0
"BRUNSON '22A'",46561,08," ",115,0,0,0
"BRUNSON 48",46539,08," ",2368,5083,0,0
