"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Apr 2016 - Apr 2016"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"8RUNSON TRUST 9",47014,08," ",13335,28540,0,0
"9014 JV-P PITZER",41392,08," ",46,93,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,32243,1633
"ABERNATHY 57-T1-14",45618,08," ",3739,13404,0,0
ADRIANNA,47205,08," ",8328,24622,0,0
"ALEXANDER 58-T2-12",277813,08," 1H",0,0,37463,6243
ALLEN,47211,08," ",3759,11149,0,0
"ALLEN 55-2-44 LOV UNIT",46733,08," ",5111,20983,0,0
"AMERICAN PHAROAH",47777,08," ",3351,57724,0,0
"ANACONDA STATE 55-2",282985,08," 5H",0,0,14165,2226
"ANACONDA STATE 55-2",283093,08," 7H",0,0,13456,1988
"ANACONDA STATE 55-2",283095,08," 2H",0,0,20736,5069
"ANACONDA STATE 55-2",283136,08," 3H",0,0,20489,2231
"ANACONDA STATE 55-2",283138,08," 1H",0,0,6407,1656
"ANACONDA STATE 55-2",45010,08," ",9852,42411,0,0
"APACHE STATE 55",44793,08," ",0,0,0,0
"APC 28-5",46719,08," ",0,0,0,0
"APC 29-29",47185,08," ",0,0,0,0
"APC FEE 1-38 UNIT",42460,08," ",4564,8414,0,0
"APC FEE 1-40",40729,08," ",11284,19777,0,0
"APC FEE 1-50 UNIT",41231,08," ",15896,34265,0,0
"APC FEE 6",43431,08," ",1279,2374,0,0
"APC FEE 6",47511,08," ",0,0,0,0
"APOLLO 7",47326,08," ",29636,73964,0,0
"ARMSTRONG 14",45537,08," ",656,935,0,0
"ARMSTRONG 16",45227,08," ",335,10,0,0
"ARMSTRONG STATE 42",48803,08," ",0,0,0,0
"ARNO 78-TTT-B33 WF",46141,08," ",3943,66089,0,0
"ASHLOCK 1-34",41954,08," ",28543,57741,0,0
"ASTRO STATE 12",285902,08," 1H",0,0,56962,11456
"ASTRO STATE 12",48295,08," ",0,0,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,2173,240
"ATLANTA 73",42256,08," ",0,0,0,0
"ATLANTIS 59-10",46352,08," ",0,0,0,0
"AUTOBAHN 34-117",44771,08," ",14290,16144,0,0
"AVALANCHE 29-40 UNIT",47807,08," ",5384,7949,0,0
"AVANT 29-40",45969,08," ",3270,5789,0,0
"AYERS UNIT ""24""",41978,08," ",1676,2255,0,0
"BAGWELL C27-1",42447,08," ",1965,4587,0,0
BAILEY,46379,08," ",4186,5251,0,0
"BALBO EAST UNIT",47676,08," ",1875,2915,0,0
"BALBO SOUTHEAST UNIT",47666,08," ",19907,37014,0,0
"BALBO WEST UNIT",47518,08," ",11333,37665,0,0
"BALMORHEA RANCH 49",46601,08," ",821,990,0,0
"BALMORHEA STATE",46324,08," ",2113,5978,0,0
"BANNER 57-1-21",279043,08," 2H",0,0,0,0
