"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Nov 2017 - Nov 2017"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"8RUNSON TRUST 9",47014,08," ",3685,5272,0,0
"9014 JV-P PITZER",41392,08," ",13,0,0,0
"A HERRING 94-93 UNIT",49527,08," ",28644,31896,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,21138,896
"ABERNATHY 57-T1-14",45618,08," ",364,1372,0,0
ACE,283213,08," L 06H",0,0,216054,28724
"ADMIRAL 4-48 47",284860,08," 1H",0,0,61370,7957
"ADMIRAL 4-48 47",48321,08," ",0,0,0,0
ADOBE,48634,08," ",6325,11960,0,0
ADRIANNA,47205,08," ",1140,9721,0,0
"AFFIRMED 6",49761,08," ",32511,68895,0,0
ALAMEDA,48683,08," ",0,0,0,0
"ALAMEDA STATE UNIT 54-8-1",49518,08," ",178753,959346,0,0
"ALCATRAZ STATE 34-141 UNIT",49585,08," ",1296,2982,0,0
"ALEXANDER 58-T2-12",277813,08," 1H",0,0,21096,3152
"ALLAR STATE UNIT 2877",49403,08," ",0,0,0,0
ALLEN,47211,08," ",2307,7513,0,0
"ALLEN 55-2-44 LOV UNIT",46733,08," ",135,4187,0,0
"ALLEN 55-2-44 LOV UNIT E",48063,08," ",6317,29866,0,0
"AMARILLO BY MORNING 54-T2-42",282869,08," 1H",0,0,12886,1449
"AMARILLO BY MORNING 54-T2-42",282873,08," 2H",0,0,18113,4037
"AMERICAN PHAROAH",47777,08," ",1191,16827,0,0
"ANACONDA STATE 55-2",282985,08," 5H",0,0,15568,1861
"ANACONDA STATE 55-2",283093,08," 7H",0,0,7723,1040
"ANACONDA STATE 55-2",283095,08," 2H",0,0,15218,3381
"ANACONDA STATE 55-2",283136,08," 3H",0,0,14341,1518
"ANACONDA STATE 55-2",283138,08," 1H",0,0,6679,1094
"ANACONDA STATE 55-2",45010,08," ",6631,29427,0,0
"ANTIETAM 54-4-27",283185,08," 1H",0,0,0,0
"APACHE STATE 55",44793,08," ",0,0,0,0
"APC 2-21",48477,08," ",0,0,0,0
"APC 29-29",47185,08," ",0,0,0,0
"APC 34-179",48994,08," ",0,0,0,0
"APC 55-1-37",48989,08," ",0,0,0,0
"APC 56-2-17",49306,08," ",0,0,0,0
"APC 76-10",48428,08," ",0,0,0,0
"APC FEE 1-38 UNIT",42460,08," ",1618,2555,0,0
"APC FEE 1-40",40729,08," ",5372,8507,0,0
"APC FEE 1-50 UNIT",41231,08," ",10074,49405,0,0
"APC FEE 6",43431,08," ",1320,2229,0,0
"APC FEE 6",47511,08," ",0,0,0,0
"APOLLO 7",47326,08," ",12943,32916,0,0
"ARGENTINE 71",48782,08," ",10013,33538,0,0
"ARMSTRONG 14",45537,08," ",276,2417,0,0
"ARMSTRONG 16",45227,08," ",466,3437,0,0
"ARMSTRONG STATE 42",48803,08," ",0,0,0,0
"ARNO 78-TTT-B33 WF",46141,08," ",5603,135715,0,0
"ARROW 56-2-7",283526,08," 1H",0,0,0,0
"ASH 55-1-32 UNIT",282757,08," 1H",0,0,0,0
"ASHLOCK 1-34",41954,08," ",12021,26362,0,0
"ASSAULT 126",48392,08," ",6320,14698,0,0
"ASTRO STATE 12",285902,08," 1H",0,0,0,0
"ASTRO STATE 12",48295,08," ",0,0,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,2317,251
"ATLANTA 73",42256,08," ",0,0,0,0
"ATLANTIS 59-10",46352,08," ",250,65614,0,0
"AUTOBAHN 34-117",44771,08," ",9383,11601,0,0
