"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Jan 2018 - Jan 2018"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"8RUNSON TRUST 9",47014,08," ",6120,5563,0,0
"9014 JV-P PITZER",41392,08," ",1,0,0,0
"A HERRING 94-93 UNIT",49527,08," ",10685,9543,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,12458,516
"ABERNATHY 57-T1-14",45618,08," ",1665,6533,0,0
ACE,283213,08," L 06H",0,0,172463,20658
"ADMIRAL 4-48 47",284860,08," 1H",0,0,32884,4633
"ADMIRAL 4-48 47",48321,08," ",0,0,0,0
ADOBE,48634,08," ",4623,7276,0,0
ADRIANNA,47205,08," ",1175,8083,0,0
"AFFIRMED 6",49761,08," ",16388,64201,0,0
ALAMEDA,48683,08," ",0,0,0,0
"ALAMEDA STATE UNIT 54-8-1",49518,08," ",113095,599930,0,0
"ALCATRAZ STATE 34-141 UNIT",49585,08," ",4,185,0,0
"ALEXANDER 58-T2-12",277813,08," 1H",0,0,17492,2808
"ALLAR STATE UNIT 2877",286385,08," 1H",0,0,51284,9937
"ALLAR STATE UNIT 2877",49403,08," ",0,0,0,0
ALLEN,47211,08," ",2029,7072,0,0
"ALLEN 55-2-44 LOV UNIT",46733,08," ",0,0,0,0
"ALLEN 55-2-44 LOV UNIT E",48063,08," ",4513,19781,0,0
"AMARILLO BY MORNING 54-T2-42",282869,08," 1H",0,0,13805,4444
"AMARILLO BY MORNING 54-T2-42",282873,08," 2H",0,0,17471,1553
"AMERICAN PHAROAH",47777,08," ",768,18746,0,0
"ANACONDA STATE 55-2",282985,08," 5H",0,0,13969,1376
"ANACONDA STATE 55-2",283093,08," 7H",0,0,11754,1561
"ANACONDA STATE 55-2",283095,08," 2H",0,0,14717,2998
"ANACONDA STATE 55-2",283136,08," 3H",0,0,14537,1437
"ANACONDA STATE 55-2",283138,08," 1H",0,0,10429,1460
"ANACONDA STATE 55-2",45010,08," ",5894,28356,0,0
"ANTIETAM 54-4-27",283185,08," 1H",0,0,0,0
"APACHE STATE 55",44793,08," ",0,0,0,0
"APC 2-21",48477,08," ",0,0,0,0
"APC 2-28",49283,08," ",0,0,0,0
"APC 29-29",47185,08," ",0,0,0,0
"APC 34-179",48994,08," ",0,0,0,0
"APC 55-1-37",48989,08," ",0,0,0,0
"APC 56-2-17",49306,08," ",0,0,0,0
"APC 76-10",48428,08," ",0,0,0,0
"APC FEE 1-38 UNIT",42460,08," ",1351,2341,0,0
"APC FEE 1-40",40729,08," ",3852,6593,0,0
"APC FEE 1-50 UNIT",41231,08," ",12651,52010,0,0
"APC FEE 6",43431,08," ",1029,1890,0,0
"APC FEE 6",47511,08," ",0,0,0,0
"APOLLO 7",47326,08," ",9456,21240,0,0
"ARGENTINE 71",48782,08," ",9260,29884,0,0
"ARMSTRONG 14",45537,08," ",280,1377,0,0
"ARMSTRONG 16",45227,08," ",320,3546,0,0
"ARMSTRONG STATE 42",48803,08," ",0,0,0,0
"ARNO 78-TTT-B33 WF",46141,08," ",5043,128390,0,0
"ARROW 56-2-7",283526,08," 1H",0,0,0,0
"ASH 55-1-32 UNIT",282757,08," 1H",0,0,0,0
"ASHLOCK 1-34",41954,08," ",13276,19129,0,0
"ASSAULT 126",48392,08," ",6188,14583,0,0
"ASSAULT 6",49752,08," ",17107,93748,0,0
"ASTRO STATE 12",285902,08," 1H",0,0,0,0
"ASTRO STATE 12",48295,08," ",0,0,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,380,111
"ATLANTA 73",42256,08," ",0,0,0,0
"ATLANTIS 59-10",46352,08," ",419,49121,0,0
"AUTOBAHN 34-117",44771,08," ",8485,7802,0,0
"AVALANCHE 29-40 UNIT",47807,08," ",8330,12625,0,0
"AVALANCHE 42-27",49931,08," ",11869,12864,0,0
"AVANT 29-40",45969,08," ",831,1179,0,0
"AVARY 121",49505,08," ",6850,6625,0,0
"AYERS UNIT ""24""",41978,08," ",58051,92147,0,0
"BADLANDS 54-2-19",284474,08," 1H",0,0,37980,8287
"BADLANDS 54-2-19",48523,08," ",0,0,0,0
"BAGWELL C27-1",42447,08," ",1045,1636,0,0
"BAKU 56-2-41",282807,08," 1H",0,0,0,0
"BALBO EAST UNIT",47676,08," ",4301,17713,0,0
"BALBO SOUTHEAST UNIT",47666,08," ",4025,17940,0,0
"BALBO WEST UNIT",47518,08," ",3603,27439,0,0
"BALBO WEST-ELLIOT",50241,08," ",9805,43710,0,0
"BALBO-ADRIANNA WEST",50314,08," ",13215,52913,0,0
"BALMORHEA RANCH 49",46601,08," ",457,992,0,0
"BALMORHEA STATE",46324,08," ",677,1928,0,0
"BALMORHEA STATE A",49591,08," ",16205,28022,0,0
"BALMORHEA STATE B",49655,08," ",893,520,0,0
"BALMORHEA STATE C",49568,08," ",19743,35626,0,0
"BALMORHEA STATE E",49521,08," ",13864,29528,0,0
"BALMORHEA STATE F",49646,08," ",25515,38024,0,0
"BANNER 57-1-21",279043,08," 2H",0,0,38277,7986
"BANNER 57-1-21",279225,08," 1H",0,0,51569,5414
"BANSHEE 56-3-28 UNIT",283780,08," 1H",0,0,39168,7281
"BARBARA STATE",48280,08," ",2612,6200,0,0
"BARBEE 72-1",268076,08," 1H",0,0,7256,150
"BARNES, D. E. ESTATE",38700,08," ",20001,22265,0,0
"BARNETT 90-TTT-B01 WF",46909,08," ",28438,176335,0,0
"BARRACUDA 49",283806,08," 1",0,0,0,0
"BARRACUDA 49",44118,08," ",0,0,0,0
"BARRIERS 34-122 UNIT",45898,08," ",5562,4074,0,0
BARSTOW,39273,08," ",10,0,0,0
"BARSTOW 33-33",47288,08," ",1956,15506,0,0
"BARSTOW 33-34",47050,08," ",11145,17684,0,0
"BARSTOW A",49057,08," ",21371,74547,0,0
"BASILISK 56-3-43 UNIT",283895,08," 1H",0,0,0,0
"BATES 1-63 LOV UNIT",44469,08," ",3359,7723,0,0
"BATES 1-77 LOV UNIT",44788,08," ",2357,6056,0,0
"BAXTER SPRINGS 54-4-33",283394,08," 1H",0,0,0,0
"BAYER '13'",46894,08," ",1463,3612,0,0
"BEANS STATION 53-4-5",282883,08," 1H",0,0,15002,3406
"BEARCAT 28-29",48622,08," ",5864,8056,0,0
"BEAVERHEAD STATE 2-24 UNIT",45549,08," ",1191,3352,0,0
"BECKER 6-29 UNIT A",47995,08," ",10707,27034,0,0
"BECKER 6-30 UNIT B",283132,08," 1H",0,0,44514,11991
"BECKHAM CALDWELL 5-43",268221,08," 1H",0,0,2299,577
"BELLTOWN 57-3-19",282811,08," 1H",0,0,0,0
"BENTON 3-12",44948,08," ",1479,10172,0,0
BENTZ,48403,08," ",3993,4533,0,0
"BERKLEY STATE EAST UNIT",46946,08," ",24975,34200,0,0
"BERKLEY STATE WEST UNIT",47669,08," ",9967,5953,0,0
"BERNARD STATE C-27 2-5 LOV UNIT",48786,08," ",3665,6476,0,0
"BETTS 54-4-20",280913,08," 1H",0,0,33612,6613
"BETTS 54-4-24",48254,08," ",4409,17765,0,0
"BETTS 54-4-26 RVS",44643,08," ",0,659,0,0
"BETTS UNIT 53-4-2",286693,08," 1H",0,0,0,0
"BETTS UNIT 53-4-2",48020,08," ",10002,33435,0,0
"BETTYE HANSARD STATE 45-3",272207,08," 2H",0,0,6558,4
"BIG BUCKS 29-10",47596,08," ",5776,20935,0,0
