"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Mar 2018 - Mar 2018"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"8RUNSON TRUST 9",47014,08," ",14539,26840,0,0
"9014 JV-P PITZER",41392,08," ",24,0,0,0
"A HERRING 94-93 UNIT",49527,08," ",152104,157863,0,0
"A.G. HILL",50673,08," ",919,703,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,25730,1907
"ABERNATHY 57-T1-14",45618,08," ",3112,10018,0,0
ACE,283213,08," L 06H",0,0,122775,14537
"ADMIRAL 4-48 47",284860,08," 1H",0,0,53909,7407
"ADMIRAL 4-48 47",48321,08," ",0,0,0,0
ADOBE,48634,08," ",6433,7984,0,0
"ADOBE A",50110,08," ",29974,37884,0,0
"ADOBE B",50111,08," ",35335,45101,0,0
ADRIANNA,47205,08," ",1033,7190,0,0
"AFFIRMED 6",49761,08," ",22017,56375,0,0
ALAMEDA,48683,08," ",0,0,0,0
"ALAMEDA STATE UNIT 54-8-1",49518,08," ",84382,444019,0,0
"ALCATRAZ STATE 34-141 UNIT",49585,08," ",27661,38046,0,0
"ALEXANDER 58-T2-12",277813,08," 1H",0,0,17451,3578
"ALLAR STATE UNIT 2877",286385,08," 1H",0,0,121649,17786
"ALLAR STATE UNIT 2877",49403,08," ",0,0,0,0
ALLEN,47211,08," ",887,3249,0,0
"ALLEN 55-2-44 LOV UNIT",46733,08," ",1531,7088,0,0
"ALLEN 55-2-44 LOV UNIT E",48063,08," ",8437,20816,0,0
"AMARILLO BY MORNING 54-T2-42",282869,08," 1H",0,0,15176,2262
"AMARILLO BY MORNING 54-T2-42",282873,08," 2H",0,0,12968,3399
"AMERICAN PHAROAH",47777,08," ",161,12557,0,0
"ANACONDA STATE 55-2",282985,08," 5H",0,0,13112,1459
"ANACONDA STATE 55-2",283093,08," 7H",0,0,10932,1461
"ANACONDA STATE 55-2",283095,08," 2H",0,0,14532,2921
"ANACONDA STATE 55-2",283136,08," 3H",0,0,13370,1328
