"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Sep 2018 - Sep 2018"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"8RUNSON TRUST 9",47014,08," ",23811,38420,0,0
"9014 JV-P PITZER",41392,08," ",5,0,0,0
"A HERRING 94-93 UNIT",49527,08," ",60602,64242,0,0
"A.G. HILL",50673,08," ",9542,13416,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,24186,1097
"ABERNATHY 57-T1-14",45618,08," ",2229,9040,0,0
ACE,283213,08," L 06H",0,0,72659,8696
"ADMIRAL 4-48 47",284860,08," 1H",0,0,40977,5819
"ADMIRAL 4-48 47",48321,08," ",0,0,0,0
ADOBE,48634,08," ",4832,9677,0,0
"ADOBE A",50110,08," ",7426,13832,0,0
"ADOBE B",50111,08," ",8219,12683,0,0
ADRIANNA,47205,08," ",917,3555,0,0
"AFFIRMED 6",49761,08," ",13387,33487,0,0
"AGGIE UNIT 75-67-66",50860,08," ",23567,127207,0,0
ALAMEDA,48683,08," ",0,0,0,0
"ALAMEDA STATE UNIT 54-8-1",49518,08," ",51583,279664,0,0
"ALCATRAZ STATE 34-141 UNIT",49585,08," ",26670,39169,0,0
"ALEXANDER 58-T2-12",277813,08," 1H",0,0,24831,3739
"ALLAR STATE UNIT 2877",286324,08," 2H",0,0,107790,15732
"ALLAR STATE UNIT 2877",286385,08," 1H",0,0,41519,5746
"ALLAR STATE UNIT 2877",49403,08," ",0,0,0,0
ALLEN,47211,08," ",1945,6807,0,0
"ALLEN 55-2-44 LOV UNIT",46733,08," ",2106,6356,0,0
"ALLEN 55-2-44 LOV UNIT E",48063,08," ",2924,11722,0,0
"AMARILLO BY MORNING 54-T2-42",282869,08," 1H",0,0,10883,2376
"AMARILLO BY MORNING 54-T2-42",282873,08," 2H",0,0,8985,1648
"AMERICAN PHAROAH",47777,08," ",24,15050,0,0
"ANACONDA STATE 55-2",282985,08," 5H",0,0,10546,1076
"ANACONDA STATE 55-2",283093,08," 7H",0,0,7581,1035
"ANACONDA STATE 55-2",283095,08," 2H",0,0,13296,2348
"ANACONDA STATE 55-2",283136,08," 3H",0,0,12263,899
"ANACONDA STATE 55-2",283138,08," 1H",0,0,1088,243
"ANACONDA STATE 55-2",45010,08," ",4772,24207,0,0
"ANDREA SWD",51006,08," ",0,0,0,0
"ANGELS ENVY 4-3W UNIT",286792,08," 1H",0,0,0,0
"ANTIETAM 54-4-27",283185,08," 1H",0,0,0,0
"APACHE STATE 55",44793,08," ",0,0,0,0
"APC 2-21",48477,08," ",0,0,0,0
"APC 2-28",49283,08," ",0,0,0,0
"APC 29-29",47185,08," ",0,0,0,0
"APC 34-179",48994,08," ",0,0,0,0
"APC 55-1-37",48989,08," ",0,0,0,0
"APC 56-2-17",49306,08," ",0,0,0,0
"APC 56-3-26",49511,08," ",0,0,0,0
"APC 57-1-33",49745,08," ",0,0,0,0
"APC 76-10",48428,08," ",0,0,0,0
"APC FEE 1-38 UNIT",42460,08," ",1135,2273,0,0
"APC FEE 1-40",40729,08," ",4919,10564,0,0
"APC FEE 1-50 UNIT",285124,08," 5H",0,0,11264,2223
"APC FEE 1-50 UNIT",41231,08," ",4769,3846,0,0
"APC FEE 6",43431,08," ",611,2055,0,0
"APC FEE 6",47511,08," ",0,0,0,0
"APOLLO 7",47326,08," ",14342,39912,0,0
"APPLETON EAST UNIT C20-9",285766,08," 1H",0,0,13635,2411
"APPLETON WEST UNIT C20-9",285870,08," 1H",0,0,13665,2485
"ARCHES 55-1-17 UNIT",284201,08," 1H",0,0,51827,10677
"ARGENTINE 71",48782,08," ",6169,22241,0,0
"ARMSTRONG 14",45537,08," ",339,12109,0,0
"ARMSTRONG 16",45227,08," ",287,3313,0,0
"ARMSTRONG STATE 42",48803,08," ",0,0,0,0
"ARNO 78-TTT-B33 WF",46141,08," ",2384,71103,0,0
"ARPENT 21602 25",284954,08," 2H",0,0,36807,8666
"ARPENT 21602 25",285178,08," 1H",0,0,50011,11640
"ARROW 56-2-7",283526,08," 1H",0,0,0,0
"ASH 55-1-32 UNIT",282757,08," 1H",0,0,125462,26350
"ASHLOCK 1-34",284402,08," 5H",0,0,6745,1902
"ASHLOCK 1-34",41954,08," ",9170,30696,0,0
"ASPEN 55-1-30 UNIT",284432,08," 1HR",0,0,121300,28015
"ASPEN 55-1-30 UNIT",285400,08," 2H",0,0,37944,7284
"ASSAULT 126",48392,08," ",5618,7084,0,0
