"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Feb 2019 - Feb 2019"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"8RUNSON TRUST 9",47014,08," ",19742,28981,0,0
"9014 JV-P PITZER",41392,08," ",0,0,0,0
"A CLASSIC DASH 18",51555,08," ",13238,37969,0,0
"A HERRING 94-93 UNIT",49527,08," ",46512,60503,0,0
"A.G. HILL",50673,08," ",4504,4963,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,10741,265
"ABERNATHY 57-T1-14",45618,08," ",1479,8909,0,0
ACE,283213,08," L 06H",0,0,58623,6256
"ADMIRAL 4-48 47",284860,08," 1H",0,0,33653,4598
ADOBE,48634,08," ",2154,2422,0,0
"ADOBE A",50110,08," ",10700,25769,0,0
"ADOBE B",50111,08," ",10228,20588,0,0
"ADOBE C",51278,08," ",14826,29877,0,0
"ADOBE D",51279,08," ",18152,27856,0,0
"ADOBE E",51280,08," ",13804,12320,0,0
ADRIANNA,47205,08," ",1495,8170,0,0
"AFFIRMED 6",49761,08," ",2988,9814,0,0
"AGGIE UNIT 75-67-66",50860,08," ",7814,47648,0,0
ALAMEDA,48683,08," ",0,0,0,0
"ALAMEDA STATE UNIT 54-8-1",49518,08," ",46858,262896,0,0
"ALCATRAZ STATE 34-141 UNIT",49585,08," ",3079,3818,0,0
"ALEXANDER 58-T2-12",277813,08," 1H",0,0,15589,2212
"ALLAR STATE UNIT 2877",286324,08," 2H",0,0,50382,6727
"ALLAR STATE UNIT 2877",286385,08," 1H",0,0,32905,4098
"ALLAR STATE UNIT 2877",49403,08," ",0,0,0,0
ALLEN,47211,08," ",1871,7300,0,0
"ALLEN 55-2-44 LOV UNIT",286761,08," 2H",0,0,0,0
"ALLEN 55-2-44 LOV UNIT",46733,08," ",2592,15229,0,0
"ALLEN 55-2-44 LOV UNIT E",48063,08," ",3086,10551,0,0
"AMARILLO BY MORNING 54-T2-42",282869,08," 1H",0,0,9255,358
"AMARILLO BY MORNING 54-T2-42",282873,08," 2H",0,0,4824,3521
"AMERICAN PHAROAH",47777,08," ",21673,74623,0,0
